time,step,state,action,reward,next_state,entropy_before,entropy_after,info_gain,dv_cost,predicted_value,root_N,root_Q_sa,root_N_sa
0.0,0,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[-0.0, -0.05, -0.0]",0.1395097570776888,"[-1.7942463705526653e-06, 3.2524927821933116e-05, 6.679940063426293e-06, -2.6783402287189494e-06, 6.18589574131742e-06, -3.5714285714285705e-06]",5545.177444479563,4771.57058624754,773.6068582320231,0.05,863.685167442434,495,"[826.9886952684876, 804.3913058472609, 778.8162292773176, 602.8248028519575, 748.7346844409357, 784.9585260020368, 748.0621050928573, 751.1676175448091, 863.685167442434, 760.3101345388842, 743.5325977480117, 817.8471483703408, 795.5127153039901]","[44, 11, 11, 11, 11, 11, 11, 11, 286, 11, 11, 44, 22]"
120.0,1,"[-1.7942463705526653e-06, 3.2524927821933116e-05, 6.679940063426293e-06, -2.6783402287189494e-06, 6.18589574131742e-06, -3.5714285714285705e-06]","[0.05, 0.0, 0.0]",0.0001353209752429042,"[1.995155849754011e-06, 2.1097942670413765e-05, 1.3250999639649938e-05, -1.4430766505828398e-06, 3.571428571428572e-06, -6.185895741317417e-06]",4771.57058624754,4770.819707427858,0.7508788196819296,0.05,853.9620090069436,495,"[177.79458114467113, 21.82679670898688, 237.98600253234298, 853.9620090069436, 1.792763512325903, 131.33556529495362, 111.27427252742959, 195.24212447840816, 132.8736341170538, 270.5453349650019, 207.688402892587, 179.78196453501275, 43.448698384263544]","[11, 11, 11, 363, 11, 11, 11, 11, 11, 11, 11, 11, 11]"
240.0,2,"[1.995155849754011e-06, 2.1097942670413765e-05, 1.3250999639649938e-05, -1.4430766505828398e-06, 3.571428571428572e-06, -6.185895741317417e-06]","[0.05, 0.0, 0.0]",2.0526603354108577e-05,"[6.119585334577593e-06, 9.154694576124949e-06, 1.89121725358564e-05, -1.1203683563375495e-06, 9.912705577010327e-22, -7.142857142857141e-06]",4770.819707427858,4770.705383769927,0.11432365793098143,0.05,1315.5876523782886,495,"[177.93432177403065, 150.34517056753978, 239.0952498923307, 1315.5876523782886, 84.3333674508931, 1025.0477674841643, 60.73453198456469, 125.1744949311044, 559.6537787922833, 770.1951491014133, 247.15529012013124, 1045.696876662704, 911.8532995550497]","[11, 11, 11, 297, 11, 33, 11, 11, 11, 22, 11, 11, 44]"
360.0,3,"[6.119585334577593e-06, 9.154694576124949e-06, 1.89121725358564e-05, -1.1203683563375495e-06, 9.912705577010327e-22, -7.142857142857141e-06]","[-0.0, -0.0, -0.05]",2.1966025873362871e-07,"[8.589916583928042e-06, 9.72324652038401e-06, 1.8924531217176357e-05, -8.874759095329061e-07, -9.704676268575479e-06, -8.693262256897725e-06]",4770.705383769927,4770.703665714815,0.0017180551121782628,0.05,1675.2058604279123,495,"[1423.744585575436, 820.068974082341, 1589.3100437330684, 1546.1619866212757, 1110.0457971346677, 1490.8546428118495, 1500.4466052680166, 1624.7577023598462, 1659.7051373070096, 1516.2233028061162, 629.4953303839978, 1570.7313397731536, 1675.2058604279123]","[44, 11, 11, 22, 11, 11, 11, 132, 44, 11, 11, 33, 143]"
480.0,4,"[8.589916583928042e-06, 9.72324652038401e-06, 1.8924531217176357e-05, -8.874759095329061e-07, -9.704676268575479e-06, -8.693262256897725e-06]","[0.01, 0.0, 0.0]",0.03210292005847257,"[6.388174547301595e-06, 2.084619953010011e-05, 1.9082084823279607e-05, -6.40520854049041e-06, -1.2751127312539202e-05, -2.6762478219461354e-06]",4770.703665714815,4592.687177504642,178.0164882101726,0.01,2645.8659503326203,495,"[2405.331064745712, 2645.8659503326203, 2377.714050119234, 2368.4825322943957, 2353.942179724272, 2264.089407529104, 1862.3908410630136, 2173.867668603837, 1958.2220649721564, 2378.2808754630646, 2206.058889260927, 2082.7751600769466, 2381.5533693881184]","[33, 66, 11, 11, 11, 11, 11, 33, 11, 231, 33, 11, 22]"
600.0,5,"[6.388174547301595e-06, 2.084619953010011e-05, 1.9082084823279607e-05, -6.40520854049041e-06, -1.2751127312539202e-05, -2.6762478219461354e-06]","[-0.0, -0.0, -0.01]",0.029129618416849145,"[-1.062617293959988e-06, 6.11899054426621e-05, 1.35992863650283e-05, -1.4839544063480003e-05, -1.343844851081777e-05, 3.259249586972271e-06]",4592.687177504642,4431.158174493234,161.52900301140835,0.01,1807.371405126469,495,"[1767.202085365607, 1786.9408990864506, 1657.1271002823416, 1766.8678807689541, 1723.9496258283712, 1619.9816478986556, 1786.462027399505, 1412.5360924435536, 1613.3697234724311, 1468.2614369551973, 1807.371405126469, 1590.9517384779936, 1701.638661580151]","[33, 77, 11, 11, 11, 11, 187, 11, 11, 11, 99, 11, 11]"
720.0,6,"[-1.062617293959988e-06, 6.11899054426621e-05, 1.35992863650283e-05, -1.4839544063480003e-05, -1.343844851081777e-05, 3.259249586972271e-06]","[-0.0, -0.0, -0.05]",0.00012676591245332398,"[-1.2770684539735593e-05, 0.00012472481543828826, -4.436117170803163e-07, -2.0123515256894816e-05, -1.4736745919641669e-05, 4.899998370444761e-06]",4431.158174493234,4430.454735014769,0.7034394784650431,0.05,607.8728404379992,495,"[399.16005694871603, 235.5190962135058, 553.7651995727979, 362.24129708487004, 463.27850521106177, 413.7658437337001, 572.77971286522, 414.0264753388555, 101.98539857255084, 492.41709238998004, 505.55094465335844, 479.11731523448395, 607.8728404379992]","[22, 11, 66, 11, 11, 11, 11, 11, 11, 11, 11, 11, 297]"
840.0,7,"[-1.2770684539735593e-05, 0.00012472481543828826, -4.436117170803163e-07, -2.0123515256894816e-05, -1.4736745919641669e-05, 4.899998370444761e-06]","[0.05, 0.0, 0.0]",1.2918738075157026e-08,"[-2.0982205576551526e-05, 0.00016964923252869168, -1.4785504445663262e-05, -1.619504091389571e-05, -1.0312397150303975e-05, 1.1611896027128352e-05]",4430.454735014769,4430.454163378074,0.0005716366949855001,0.05,9.08496419814318,495,"[-0.0001984535341839283, 0.00020994273260073208, 0.0009917413314500967, 9.08496419814318, 0.013273592480024661, 3.398888324998869, 0.0007256854860952234, 4.5547946460024, 5.8621193474543665, 1.397161199995759, -0.022206141319124628, -0.0011629083153456463, 4.575222522975778]","[11, 11, 11, 308, 11, 11, 11, 11, 44, 11, 11, 11, 33]"
960.0,8,"[-2.0982205576551526e-05, 0.00016964923252869168, -1.4785504445663262e-05, -1.619504091389571e-05, -1.0312397150303975e-05, 1.1611896027128352e-05]","[-0.01, -0.0, -0.0]",0.0006258066699300848,"[-1.4186569671391339e-05, 0.00013661279635992344, -2.010459275860378e-05, 1.0821645882823247e-05, -3.12484989251332e-06, 1.5212395520748736e-05]",4430.454163378074,4426.9838543473725,3.4703090307011735,0.01,51.531608731918055,495,"[31.991861722622783, 6.955160104077498, 51.531608731918055, 9.221444592585458, 46.604930159674744, 12.703441443212414, 46.959653794162534, 18.724648054350123, 0.0926453308268038, 39.21112812473468, 20.501501695232182, 0.7238844032283164, 21.09644694644899]","[11, 11, 264, 11, 33, 11, 77, 11, 11, 22, 11, 11, 11]"
1080.0,9,"[-1.4186569671391339e-05, 0.00013661279635992344, -2.010459275860378e-05, 1.0821645882823247e-05, -3.12484989251332e-06, 1.5212395520748736e-05]","[-0.01, -0.0, -0.0]",0.0065161653410262385,"[1.556974087845521e-05, 5.837996641230575e-05, 1.000270201466844e-05, 2.1738805651463373e-05, 4.899998370444761e-06, 1.4736745919641672e-05]",4426.9838543473725,4390.850461273814,36.13339307355818,0.01,138.092182779761,495,"[42.74703979142271, 117.57784023515886, 138.092182779761, 42.90402386380333, 124.46866087350026, 43.06864778707392, 127.42262418100489, 112.77342172717728, 123.35767526789905, 44.62600671984716, 120.41610655030787, 87.03534980204772, 133.3345422435455]","[11, 11, 264, 11, 55, 11, 11, 22, 11, 11, 11, 11, 55]"
