step,entropy
0,5545.177444479563
1,5171.186662523169
2,4881.647224196313
3,4699.406118172631
4,4453.434916932551
5,4183.218998859351
6,3839.596362692285
7,3609.5389638060806
8,3371.9101065983814
9,3114.8371189407444
10,2882.0059867162463
11,2719.1769996662656
12,2511.957443874135
13,2358.7524907696534
14,2226.3636727662656
15,2115.4818506904608
16,1990.0245031675324
17,1886.0158471310017
18,1820.8057100366495
19,1744.5297979925479
20,1657.8806871998781
