time,state,action,reward,next_state
0.0,"[7.317731426181627e-05, -1.3277367953357875e-05, -7.357131973639595e-05, 0.00015991504105011996, 1.150147451911512e-05, 9.884655485583022e-05]","[0.0, 0.0, 0.01]",373.99078195639413,"[ 0.00000000e+00 -1.32773680e-05 -6.83620618e-05  1.62210320e-04
  1.33919473e-03  5.55733000e-05]"
30.0,"[0.0, -1.3277367953357848e-05, -6.83620618282633e-05, 0.00016221032009217312, 0.0013391947271176677, 5.557329995082012e-05]","[0.0, 0.0, 0.01]",289.5394383268558,"[ 0.00000000e+00 -1.32773680e-05 -6.30813109e-05  1.64335960e-04
  2.66479451e-03 -3.06077461e-05]"
60.0,"[0.0, -1.327736795335782e-05, -6.308131092932805e-05, 0.00016433595970831826, 0.0026647945064223167, -3.060774607011381e-05]","[-0.0, -0.0, -0.01]",182.24110602368182,"[ 0.00000000e+00 -1.32773680e-05 -5.77345896e-05  1.66289737e-04
  1.33790829e-03 -7.39071099e-05]"
90.0,"[0.0, -1.3277367953357807e-05, -5.773458964475088e-05, 0.00016628973690630694, 0.0013379082936940709, -7.390710993184994e-05]","[-0.0, -0.0, -0.05]",245.97120124008052,"[ 0.00000000e+00 -1.32773680e-05 -5.23274896e-05  1.68069608e-04
 -5.28769657e-03  9.71191812e-05]"
120.0,"[0.0, -1.3277367953357794e-05, -5.232748957147022e-05, 0.00016806960842747338, -0.0052876965730387715, 9.711918121564797e-05]","[0.0, 0.0, 0.05]",270.21591807319965,"[ 0.00000000e+00 -1.32773680e-05 -4.68656655e-05  1.69673713e-04
  1.34072419e-03  5.37955422e-05]"
150.0,"[0.0, -1.327736795335778e-05, -4.686566545051448e-05, 0.00016967371288357253, 0.0013407241892790277, 5.3795542187914475e-05]","[0.0, 0.0, 0.0]",343.62263616706605,"[ 0.00000000e+00 -1.32773680e-05 -4.13548293e-05  1.71100373e-04
  1.34176258e-03  1.04156438e-05]"
180.0,"[0.0, -1.3277367953357767e-05, -4.135482925327836e-05, 0.0001711003727034186, 0.0013417625819946407, 1.0415643824227602e-05]","[0.0, 0.0, 0.0]",230.05739888620428,"[ 0.00000000e+00 -1.32773680e-05 -3.58007442e-05  1.72348096e-04
  1.34139776e-03 -3.29751472e-05]"
210.0,"[0.0, -1.3277367953357767e-05, -3.580074420794758e-05, 0.0001723480958872876, 0.0013413977604512278, -3.297514721162589e-05]","[-0.0, -0.0, -0.05]",237.62885720769918,"[ 0.00000000e+00 -1.32773680e-05 -3.02092188e-05  1.73415578e-04
 -5.28288541e-03  1.37916910e-04]"
240.0,"[0.0, -1.3277367953357773e-05, -3.0209218772319398e-05, 0.00017341557756724946, -0.005282885412637079, 0.00013791691014714968]","[0.0, 0.0, 0.05]",257.072987657637,"[ 0.00000000e+00 -1.32773680e-05 -2.45861006e-05  1.74301701e-04
  1.34685201e-03  9.44163711e-05]"
270.0,"[0.0, -1.3277367953357773e-05, -2.4586100559321966e-05, 0.0001743017013717981, 0.0013468520118174712, 9.441637109768006e-05]","[0.0, 0.0, 0.01]",232.8311322244981,"[ 0.00000000e+00 -1.32773680e-05 -1.89372702e-05  1.75005541e-04
  2.67370376e-03  7.96741888e-06]"
300.0,"[0.0, -1.3277367953357773e-05, -1.89372702215853e-05, 0.0001750055405933516, 0.002673703761961007, 7.967418878855526e-06]","[-0.0, -0.0, -0.05]",162.8289870499807,"[ 0.00000000e+00 -1.32773680e-05 -1.32686353e-05  1.75526359e-04
 -3.94995221e-03  1.35758497e-04]"
