time,step,state,action,reward,next_state,entropy_before,entropy_after,info_gain,dv_cost,predicted_value,root_N,root_Q_sa,root_N_sa
0.0,0,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[-0.0, -0.05, -0.0]",0.13950894556172833,"[-1.7942463705526653e-06, 3.2524927821933116e-05, 6.679940063426293e-06, -2.6783402287189494e-06, 6.18589574131742e-06, -3.5714285714285705e-06]",5545.177444479563,4771.57058624754,773.6068582320231,0.05,865.994399103408,495,"[832.7919144224635, 815.3622929152071, 795.9259537287428, 635.505843761024, 750.6920252920223, 790.0735273412735, 748.3863725866009, 761.3331910430187, 865.994399103408, 771.7885955719502, 744.6718130547805, 833.1251113565996, 809.3050401448578]","[165, 11, 11, 11, 11, 11, 11, 11, 165, 11, 11, 44, 22]"
120.0,1,"[-1.7942463705526653e-06, 3.2524927821933116e-05, 6.679940063426293e-06, -2.6783402287189494e-06, 6.18589574131742e-06, -3.5714285714285705e-06]","[0.05, 0.0, 0.0]",0.00013450945928240415,"[1.995155849754011e-06, 2.1097942670413765e-05, 1.3250999639649938e-05, -1.4430766505828398e-06, 3.571428571428572e-06, -6.185895741317417e-06]",4771.57058624754,4770.819707427858,0.7508788196819296,0.05,1138.1423899420984,495,"[205.45649523848803, 28.197987190585614, 319.28456925068076, 1138.1423899420984, 2.220670726142498, 185.9766694822101, 152.44794995942308, 239.7152844057355, 178.26926675441817, 360.5760440851323, 240.6687752258022, 196.631720387079, 47.027256973501615]","[11, 11, 11, 363, 11, 11, 11, 11, 11, 11, 11, 11, 11]"
240.0,2,"[1.995155849754011e-06, 2.1097942670413765e-05, 1.3250999639649938e-05, -1.4430766505828398e-06, 3.571428571428572e-06, -6.185895741317417e-06]","[0.05, 0.0, 0.0]",1.9715087393608535e-05,"[6.119585334577593e-06, 9.154694576124949e-06, 1.89121725358564e-05, -1.1203683563375495e-06, 9.912705577010327e-22, -7.142857142857141e-06]",4770.819707427858,4770.705383769927,0.11432365793098143,0.05,1690.941900696067,495,"[225.38219692582217, 181.7884077096924, 333.38743144879345, 1690.941900696067, 95.52303365591798, 1382.2426276306699, 67.0399652397309, 150.3178913724, 738.189818370439, 1050.1616069582262, 311.1855487458684, 1274.1008661704182, 1301.621942486838]","[11, 11, 11, 308, 11, 33, 11, 11, 11, 22, 11, 22, 22]"
360.0,3,"[6.119585334577593e-06, 9.154694576124949e-06, 1.89121725358564e-05, -1.1203683563375495e-06, 9.912705577010327e-22, -7.142857142857141e-06]","[0.05, 0.0, 0.0]",-4.886202876318478e-07,"[7.735162333896786e-06, 4.372149723200158e-06, 2.421215331865713e-05, -4.880553252878923e-06, -3.5714285714285697e-06, -6.185895741317417e-06]",4770.705383769927,4770.703093256125,0.0022905138021087623,0.05,2776.278348545805,495,"[2236.0920572187274, 1044.1588745326992, 2121.3175697012853, 2776.278348545805, 1573.7406178069525, 1852.685777916081, 1977.6023103363427, 2263.2059513938148, 2116.4613033164974, 1859.6931294947403, 823.2887910368537, 2215.4239347103153, 2121.56079705989]","[44, 11, 11, 231, 11, 11, 11, 33, 44, 11, 11, 22, 44]"
480.0,4,"[7.735162333896786e-06, 4.372149723200158e-06, 2.421215331865713e-05, -4.880553252878923e-06, -3.5714285714285697e-06, -6.185895741317417e-06]","[-0.0, -0.0, -0.05]",-9.016844005556022e-07,"[4.942879766184154e-06, 2.8517373085622853e-05, 2.2290308828748282e-05, -1.0639093039323083e-05, -1.1944445984671776e-05, -6.849036426675238e-06]",4770.703093256125,4770.703093256125,0.0,0.05,2771.6915009018044,495,"[2146.0376581337327, 2465.3782262943937, 2594.7271178931765, 2214.7422802018377, 695.6585446196113, 2329.7883117335764, 2067.459975781036, 2433.4873378776465, 2214.6861287831603, 1945.1149583741171, 2586.4097963877675, 2465.717021430279, 2771.6915009018044]","[11, 11, 11, 11, 11, 11, 11, 22, 11, 11, 154, 22, 198]"
600.0,5,"[4.942879766184154e-06, 2.8517373085622853e-05, 2.2290308828748282e-05, -1.0639093039323083e-05, -1.1944445984671776e-05, -6.849036426675238e-06]","[0.05, 0.0, 0.0]",0.02473146949712019,"[-5.137773607753566e-06, 8.523032317855168e-05, 1.844798480047509e-05, -2.5310186840624688e-05, -1.376871187019441e-05, 4.078345539013591e-08]",4770.703093256125,4633.5577064318595,137.1453868242652,0.05,2263.0204380593423,495,"[1648.0083240483907, 2009.6003489750788, 1566.4670055872923, 2263.0204380593423, 1318.8902295610526, 2021.2349293693308, 1663.353348398585, 1292.1546439832362, 613.9429063861181, 1123.8934128658186, 1940.1454520207774, 1948.980757531059, 2112.370501640509]","[11, 11, 11, 242, 11, 33, 11, 11, 11, 11, 22, 55, 55]"
720.0,6,"[-5.137773607753566e-06, 8.523032317855168e-05, 1.844798480047509e-05, -2.5310186840624688e-05, -1.376871187019441e-05, 4.078345539013591e-08]","[0.05, 0.0, 0.0]",-9.016844005556022e-07,"[-2.330655535736964e-05, 0.00018858382831937848, -8.012837322508967e-07, -3.67360947911222e-05, -1.1903662529281641e-05, 6.919675443519172e-06]",4633.5577064318595,4633.5577064318595,0.0,0.05,801.9497693893302,495,"[191.26523664539909, 292.77149540958044, 452.8035674785187, 801.9497693893302, 299.55911735037085, 629.8609381875802, 141.91393998135868, 542.2132084835031, 214.21780149596495, 561.0428363328284, 626.9528577070959, 478.67420400967967, 413.89119890206626]","[11, 11, 22, 297, 11, 11, 11, 11, 11, 44, 11, 33, 11]"
840.0,7,"[-2.330655535736964e-05, 0.00018858382831937848, -8.012837322508967e-07, -3.67360947911222e-05, -1.1903662529281641e-05, 6.919675443519172e-06]","[-0.01, -0.0, -0.0]",-1.8033688011112042e-07,"[-3.657222419237638e-05, 0.00025506491195790345, -3.229420553067451e-05, -1.7244647430144004e-05, -6.849036426675239e-06, 1.1944445984671775e-05]",4633.5577064318595,4633.5577064318595,0.0,0.01,2.678401119080526,495,"[-0.0232683467262059, -0.021437810598831406, 2.678401119080526, -0.03073058229592791, -0.027945226388042275, -0.025362367390524814, -0.024037181015777155, -0.03320726239693836, -0.026729329552266815, -0.023360497854153398, -0.02299672706124677, -0.025026808683664886, -0.032002227775082055]","[44, 44, 44, 33, 44, 33, 33, 33, 33, 44, 44, 33, 33]"
960.0,8,"[-3.657222419237638e-05, 0.00025506491195790345, -3.229420553067451e-05, -1.7244647430144004e-05, -6.849036426675239e-06, 1.1944445984671775e-05]","[-0.0, -0.0, -0.05]",0.0001284278700443274,"[-1.3355216346393183e-05, 0.0001665375502759704, -2.5746100424093073e-05, 2.6027521756785353e-05, -3.3425933184720338e-06, 8.071662128082161e-06]",4633.5577064318595,4632.840551103647,0.7171553282123568,0.05,34.60695152901349,495,"[0.7380443562928692, 0.7394664386104449, 0.771103635614682, 0.6841180063614428, 3.3414591744160704, -0.5435240102636499, 8.517599880852247, 0.6883739743482495, 0.7624543313567661, 0.7503524470390729, 11.576219818829744, 0.0951060596218095, 34.60695152901349]","[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 22, 11, 352]"
1080.0,9,"[-1.3355216346393183e-05, 0.0001665375502759704, -2.5746100424093073e-05, 2.6027521756785353e-05, -3.3425933184720338e-06, 8.071662128082161e-06]","[0.01, 0.0, 0.0]",0.014378323364588417,"[3.1350513560323936e-05, 6.943376895309393e-05, 2.5418156198203334e-05, 2.522405227402299e-05, 1.1410603357241708e-06, 8.661561112919933e-06]",4632.840551103647,4553.109196692898,79.73135441074919,0.01,279.6731248931773,495,"[232.82829526055687, 279.6731248931773, 172.27376172867824, 212.23401137922932, 215.52973019029622, 228.5392275220179, 159.14535226055656, 214.76499051597372, 190.20017142324238, 229.24025533839583, 228.53907220871844, 212.06858391408804, 240.94476547284938]","[44, 330, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]"
