time,state,action,reward,next_state
0.0,"[-7.996309146318812e-05, -5.385472225211934e-05, -3.952563328588805e-05, 0.00020004459122449636, -8.621708518204359e-05, -1.4774720664953716e-05]","[-0.0, -0.0, -0.01]",313.0441360079458,"[ 0.00000000e+00 -5.38547223e-05 -3.30366053e-05  2.01218033e-04
 -1.41115284e-03  3.08704718e-05]"
30.0,"[0.0, -5.3854722252119334e-05, -3.303660525026642e-05, 0.00020121803318381884, -0.001411152840619258, 3.087047184475116e-05]","[0.0, 0.0, 0.0]",269.4804702277852,"[ 0.00000000e+00 -5.38547223e-05 -2.65130276e-05  2.02181041e-04
 -1.40941677e-03  7.64833800e-05]"
60.0,"[0.0, -5.385472225211933e-05, -2.6513027558707857e-05, 0.00020218104148138507, -0.0014094167652605484, 7.648338003914073e-05]","[0.0, 0.01, 0.0]",0.0,"[ 0.00000000e+00 -5.38547223e-05  2.62904448e-03  1.17233264e-04
 -1.40620672e-03  1.22016302e-04]"
90.0,"[0.0, -5.3854722252119104e-05, 0.0026290444849627194, 0.00011723326379928617, -0.0014062067229508573, 0.00012201630197449343]","[0.0, 0.0, 0.0]",0.0,"[ 0.00000000e+00 -5.38547223e-05  2.63146045e-03  3.21628837e-05
 -1.40152607e-03  1.67421619e-04]"
120.0,"[0.0, -5.385472225212084e-05, 0.0026314604483002398, 3.216288366157945e-05, -0.0014015260707499221, 0.00016742161935665484]","[0.0, 0.0, 0.0]",0.0,"[ 0.00000000e+00 -5.38547223e-05  2.63112443e-03 -5.29411324e-05
 -1.39537970e-03  2.12651847e-04]"
150.0,"[0.0, -5.385472225212084e-05, 0.002631124432358662, -5.294113239471002e-05, -0.0013953797036801545, 0.00021265184734021257]","[-0.0, -0.01, -0.0]",179.3896355271554,"[ 0.00000000e+00 -5.38547223e-05 -2.09694190e-05 -5.22904375e-05
 -1.38777405e-03  2.57659684e-04]"
180.0,"[0.0, -5.385472225212084e-05, -2.0969418983184317e-05, -5.2290437451555397e-05, -0.0013877740496074293, 0.00025765968418811023]","[0.0, 0.0, 0.05]",719.6602767014729,"[ 0.00000000e+00 -5.38547223e-05 -2.26492440e-05 -5.15850572e-05
  5.24379846e-03  8.81496977e-05]"
210.0,"[0.0, -5.385472225212081e-05, -2.2649244005675643e-05, -5.158505720980373e-05, 0.005243798456297125, 8.814969772830649e-05]","[0.0, 0.0, 0.0]",238.4088877118893,"[ 0.00000000e+00 -5.38547223e-05 -2.43053825e-05 -5.08257294e-05
  5.24390676e-03 -8.14524756e-05]"
240.0,"[0.0, -5.38547222521208e-05, -2.4305382466496962e-05, -5.082572935556026e-05, 0.00524390676058315, -8.145247561645077e-05]","[-0.0, -0.0, -0.05]",430.2854621304432,"[ 0.00000000e+00 -5.38547223e-05 -2.59361024e-05 -5.00132480e-05
 -1.38398453e-03 -3.67211030e-05]"
270.0,"[0.0, -5.385472225212079e-05, -2.5936102377341014e-05, -5.0013247993301185e-05, -0.0013839845275363946, -3.67211030144413e-05]","[0.0, 0.0, 0.0]",338.94609187319656,"[ 0.00000000e+00 -5.38547223e-05 -2.75396983e-05 -4.91484628e-05
 -1.38444820e-03  8.04867249e-06]"
