time,state,action,reward,next_state
0.0,"[-8.06081137134813e-05, 9.177797086446493e-05, 5.141256763824781e-05, 0.000189711747837027, 3.4451272046894126e-05, 7.712683347250428e-05]","[-0.0, -0.0, -0.05]",72.72042982485527,"[ 0.00000000e+00  9.17779709e-05  5.75199359e-05  1.87950143e-04
 -6.58558840e-03  2.90220899e-04]"
30.0,"[0.0, 9.177797086446491e-05, 5.7519935856343256e-05, 0.00018795014327639996, -0.006585588396687759, 0.0002902208990917702]","[0.0, 0.0, 0.05]",11.823513159600225,"[0.00000000e+00 9.17779709e-05 6.35671498e-05 1.85991981e-04
 4.97548979e-05 2.88763089e-04]"
60.0,"[0.0, 9.177797086446491e-05, 6.356714977049925e-05, 0.00018599198060290672, 4.97548978824854e-05, 0.0002887630889102506]","[-0.0, -0.01, -0.0]",0.0,"[ 0.00000000e+00  9.17779709e-05 -2.57945832e-03  2.69538653e-04
  5.90659175e-05  2.87003291e-04]"
90.0,"[0.0, 9.177797086446556e-05, -0.002579458322317248, 0.0002695386528661243, 5.906591752598071e-05, 0.000287003290516154]","[0.0, 0.01, 0.0]",75.49073234228763,"[0.00000000e+00 9.17779709e-05 7.96121051e-05 2.67104097e-04
 6.83151661e-05 2.84943344e-04]"
120.0,"[0.0, 9.177797086446556e-05, 7.961210513517437e-05, 0.00026710409661236253, 6.83151660791154e-05, 0.0002849433443052649]","[-0.0, -0.01, -0.0]",0.0,"[ 0.00000000e+00  9.17779709e-05 -2.56079903e-03  3.50089548e-04
  7.74929707e-05  2.82585405e-04]"
150.0,"[0.0, 9.177797086446643e-05, -0.0025607990297334604, 0.00035008954830781656, 7.749297068498525e-05, 0.00028258540456771984]","[0.0, 0.0, 0.0]",0.0,"[ 0.00000000e+00  9.17779709e-05 -2.54813999e-03  4.32708877e-04
  8.65897332e-05  2.79931937e-04]"
180.0,"[0.0, 9.17779708644673e-05, -0.002548139986461899, 0.0004327088766274114, 8.65897332027103e-05, 0.00027993193723505245]","[0.0, 0.0, 0.0]",0.0,"[ 0.00000000e+00  9.17779709e-05 -2.53281610e-03  5.14875678e-04
  9.55959402e-05  2.76985717e-04]"
210.0,"[0.0, 9.177797086446816e-05, -0.002532816100385077, 0.0005148756783421966, 9.559594024516293e-05, 0.0002769857173013243]","[0.0, 0.0, 0.0]",0.0,"[ 0.00000000e+00  9.17779709e-05 -2.51484340e-03  5.96504023e-04
  1.04502173e-04  2.73749826e-04]"
240.0,"[0.0, 9.177797086446816e-05, -0.0025148433972110693, 0.0005965040234751914, 0.00010450217312806077, 0.00027374982592103816]","[0.0, 0.0, 0.0]",0.0,"[ 0.00000000e+00  9.17779709e-05 -2.49424067e-03  6.77508545e-04
  1.13299118e-04  2.70227647e-04]"
270.0,"[0.0, 9.177797086446903e-05, -0.0024942406727788027, 0.0006775085451668867, 0.00011329911772001932, 0.0002702276471868693]","[0.0, 0.0, 0.0]",0.0,"[ 0.00000000e+00  9.17779709e-05 -2.47102947e-03  7.57804529e-04
  1.21977574e-04  2.66422865e-04]"
300.0,"[0.0, 9.17779708644699e-05, -0.0024710294734013767, 0.000757804528951841, 0.00012197757418326333, 0.0002664228645905836]","[0.0, 0.01, 0.0]",24.932718797093003,"[0.00000000e+00 9.17779709e-05 2.03772134e-04 7.51608656e-04
 1.30528467e-04 2.62339457e-04]"
330.0,"[0.0, 9.17779708644699e-05, 0.00020377213419343117, 0.0007516086561484171, 0.00013052846659480983, 0.00026233945717084485]","[0.0, 0.05, 0.0]",0.0,"[0.00000000e+00 9.17779709e-05 1.34729996e-02 3.16130026e-04
 1.38942852e-04 2.57981695e-04]"
360.0,"[0.0, 9.177797086446643e-05, 0.01347299957816417, 0.00031613002557721035, 0.0001389428524380614, 0.00025798169535193967]","[-0.0, -0.0, -0.01]",0.0,"[ 0.00000000e+00  9.17779709e-05  1.34761765e-02 -1.19679214e-04
 -1.17729117e-03  2.96203809e-04]"
390.0,"[0.0, 9.177797086446643e-05, 0.013476176487124705, -0.00011967921352753943, -0.0011772911718083074, 0.00029620380908006275]","[0.0, 0.0, 0.0]",0.0,"[ 0.00000000e+00  9.17779709e-05  1.34652600e-02 -5.55363292e-04
 -1.16709794e-03  3.34116153e-04]"
420.0,"[0.0, 9.177797086445949e-05, 0.013465260021253034, -0.0005553632922043681, -0.001167097937609121, 0.0003341161530962737]","[-0.0, -0.05, -0.0]",22.162988309484717,"[ 0.00000000e+00  9.17779709e-05  1.95230559e-04 -5.61969846e-04
 -1.15568415e-03  3.71679079e-04]"
450.0,"[0.0, 9.177797086445938e-05, 0.00019523055934872276, -0.0005619698463615679, -0.0011556841532994236, 0.0003716790787008469]","[0.0, 0.0, 0.0]",16.634387788170898,"[ 0.00000000e+00  9.17779709e-05  1.76957408e-04 -5.67988693e-04
 -1.14306176e-03  4.08853303e-04]"
480.0,"[0.0, 9.177797086445933e-05, 0.00017695740806501133, -0.000567988692892889, -0.0011430617554059217, 0.00040885330261555846]","[-0.0, -0.01, -0.0]",0.0,"[ 0.00000000e+00  9.17779709e-05 -2.49050701e-03 -4.87714192e-04
 -1.12924394e-03  4.45599948e-04]"
510.0,"[0.0, 9.177797086446036e-05, -0.0024905070126640598, -0.000487714192088751, -0.0011292439444224615, 0.0004455999480661075]","[0.0, 0.0, 0.01]",0.0,"[ 0.00000000e+00  9.17779709e-05 -2.50497477e-03 -4.06929640e-04
  2.10257933e-04  4.39030913e-04]"
540.0,"[0.0, 9.177797086446036e-05, -0.002504974766589419, -0.00040692964016390674, 0.00021025793275822628, 0.00043903091283712477]","[0.0, 0.0, 0.01]",0.0,"[ 0.00000000e+00  9.17779709e-05 -2.51682282e-03 -3.25719522e-04
  1.54884698e-03  3.89153067e-04]"
570.0,"[0.0, 9.177797086446123e-05, -0.0025168228198627065, -0.00032571952153958764, 0.0015488469778617523, 0.0003891530668205158]","[0.0, 0.0, 0.0]",0.0,"[ 0.00000000e+00  9.17779709e-05 -2.52603878e-03 -2.44168766e-04
  1.56062019e-03  3.38868245e-04]"
