time,step,state,action,reward,next_state,entropy_before,entropy_after,info_gain,dv_cost,predicted_value,root_N,root_Q_sa,root_N_sa
0.0,0,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[-0.0, -0.05, -0.0]",0.13950894556172833,"[-1.7942463705526653e-06, 3.2524927821933116e-05, 6.679940063426293e-06, -2.6783402287189494e-06, 6.18589574131742e-06, -3.5714285714285705e-06]",5545.177444479563,4771.57058624754,773.6068582320231,0.05,863.6641548274032,495,"[826.9710084580003, 804.3722769365266, 778.8054309524389, 602.7998529379166, 748.7071511105394, 784.9405158768869, 748.0470128956225, 751.1423015279652, 863.6641548274032, 760.2891575337909, 743.5141347571844, 817.8242938326937, 795.4899668296329]","[44, 11, 11, 11, 11, 11, 11, 11, 286, 11, 11, 44, 22]"
120.0,1,"[-1.7942463705526653e-06, 3.2524927821933116e-05, 6.679940063426293e-06, -2.6783402287189494e-06, 6.18589574131742e-06, -3.5714285714285705e-06]","[0.05, 0.0, 0.0]",0.00013450945928240415,"[1.995155849754011e-06, 2.1097942670413765e-05, 1.3250999639649938e-05, -1.4430766505828398e-06, 3.571428571428572e-06, -6.185895741317417e-06]",4771.57058624754,4770.819707427858,0.7508788196819296,0.05,853.9385918073541,495,"[177.78119851356954, 21.81705995962724, 237.96215396018076, 853.9385918073541, 1.7654994011232952, 131.32506589777245, 111.26101518096084, 195.21935766032757, 132.85795506678664, 270.5350256799083, 207.66723078469067, 179.76290995177814, 43.432968010085965]","[11, 11, 11, 363, 11, 11, 11, 11, 11, 11, 11, 11, 11]"
240.0,2,"[1.995155849754011e-06, 2.1097942670413765e-05, 1.3250999639649938e-05, -1.4430766505828398e-06, 3.571428571428572e-06, -6.185895741317417e-06]","[0.05, 0.0, 0.0]",1.9715087393608535e-05,"[6.119585334577593e-06, 9.154694576124949e-06, 1.89121725358564e-05, -1.1203683563375495e-06, 9.912705577010327e-22, -7.142857142857141e-06]",4770.819707427858,4770.705383769927,0.11432365793098143,0.05,1315.5660140336968,495,"[177.91895037130917, 150.3273255573313, 239.07954724586213, 1315.5660140336968, 84.32074825206745, 1025.0291524171744, 60.71612790724491, 125.15563854194639, 559.6301290118398, 770.176115223704, 247.1363597146625, 1045.6687281121706, 911.8290014148478]","[11, 11, 11, 297, 11, 33, 11, 11, 11, 22, 11, 11, 44]"
360.0,3,"[6.119585334577593e-06, 9.154694576124949e-06, 1.89121725358564e-05, -1.1203683563375495e-06, 9.912705577010327e-22, -7.142857142857141e-06]","[-0.0, -0.0, -0.05]",-5.918557017664133e-07,"[8.589916583928042e-06, 9.72324652038401e-06, 1.8924531217176357e-05, -8.874759095329061e-07, -9.704676268575479e-06, -8.693262256897725e-06]",4770.705383769927,4770.703665714815,0.0017180551121782628,0.05,1675.182234629458,495,"[1423.7282641397758, 820.0398804068725, 1589.2928886079173, 1546.1426612353355, 1110.0303171881462, 1490.837115035127, 1500.4262198762665, 1624.7359445646146, 1659.6837612862257, 1516.2059766228288, 629.4856826816058, 1570.7095350152854, 1675.182234629458]","[44, 11, 11, 22, 11, 11, 11, 132, 44, 11, 11, 33, 143]"
480.0,4,"[8.589916583928042e-06, 9.72324652038401e-06, 1.8924531217176357e-05, -8.874759095329061e-07, -9.704676268575479e-06, -8.693262256897725e-06]","[0.01, 0.0, 0.0]",0.032102757755280466,"[6.388174547301595e-06, 2.084619953010011e-05, 1.9082084823279607e-05, -6.40520854049041e-06, -1.2751127312539202e-05, -2.6762478219461354e-06]",4770.703665714815,4592.687177504642,178.0164882101726,0.01,2645.847688940082,495,"[2405.315268455772, 2645.847688940082, 2377.68757105514, 2368.461052743863, 2353.924016792283, 2264.0640650793284, 1862.3636828354197, 2173.8467584700243, 1958.1979997462477, 2378.262396665035, 2206.041632458102, 2082.7543985360717, 2381.5286215260603]","[33, 66, 11, 11, 11, 11, 11, 33, 11, 231, 33, 11, 22]"
600.0,5,"[6.388174547301595e-06, 2.084619953010011e-05, 1.9082084823279607e-05, -6.40520854049041e-06, -1.2751127312539202e-05, -2.6762478219461354e-06]","[-0.0, -0.0, -0.01]",0.029129456113657044,"[-1.062617293959988e-06, 6.11899054426621e-05, 1.35992863650283e-05, -1.4839544063480003e-05, -1.343844851081777e-05, 3.259249586972271e-06]",4592.687177504642,4431.158174493234,161.52900301140835,0.01,1807.3551923253315,495,"[1767.1845549112722, 1786.9218700608044, 1657.1064295318013, 1766.8435314924136, 1723.9312487482055, 1619.9693689123885, 1786.4437283588584, 1412.5084820579011, 1613.3510476953504, 1468.2428241608538, 1807.3551923253315, 1590.930322587097, 1701.6170643558632]","[33, 77, 11, 11, 11, 11, 187, 11, 11, 11, 99, 11, 11]"
720.0,6,"[-1.062617293959988e-06, 6.11899054426621e-05, 1.35992863650283e-05, -1.4839544063480003e-05, -1.343844851081777e-05, 3.259249586972271e-06]","[-0.0, -0.0, -0.05]",0.00012595439649282393,"[-1.2770684539735593e-05, 0.00012472481543828826, -4.436117170803163e-07, -2.0123515256894816e-05, -1.4736745919641669e-05, 4.899998370444761e-06]",4431.158174493234,4430.454735014769,0.7034394784650431,0.05,607.8523449451808,495,"[399.14073683237257, 235.5070905662712, 553.7461900240079, 362.2241587871676, 463.2508008806654, 413.74849123142855, 572.7564913511266, 414.00436314162073, 101.96588060069122, 492.4023011313703, 505.52633718931736, 479.0897501846564, 607.8523449451808]","[22, 11, 66, 11, 11, 11, 11, 11, 11, 11, 11, 11, 297]"
840.0,7,"[-1.2770684539735593e-05, 0.00012472481543828826, -4.436117170803163e-07, -2.0123515256894816e-05, -1.4736745919641669e-05, 4.899998370444761e-06]","[-0.0, -0.05, -0.0]",-7.985714421504672e-07,"[-3.326868556536779e-05, 0.00018258040586359022, -2.957750031467769e-05, -1.534950617119409e-05, -1.0312397150303975e-05, 1.1611896027128352e-05]",4430.454735014769,4430.454163235117,0.0005717796511817141,0.05,7.864737445713084,495,"[-0.0233302905672767, -0.024271820594999074, -0.02055779949614971, 5.954891670045016, -0.011770827254630608, 3.3752022028365753, -0.018774582650028796, 4.533545172252604, 7.864737445713084, 1.3771404032339516, -0.03973391804061116, -0.021168657674992323, 4.5471016742713655]","[11, 11, 11, 55, 11, 11, 11, 11, 297, 11, 11, 11, 33]"
960.0,8,"[-3.326868556536779e-05, 0.00018258040586359022, -2.957750031467769e-05, -1.534950617119409e-05, -1.0312397150303975e-05, 1.1611896027128352e-05]","[-0.05, -0.0, -0.0]",0.0002608498078126304,"[-1.0935555090837942e-05, 9.082762653430254e-05, -2.4967489373487436e-05, 3.0337932418867242e-05, -3.12484989251332e-06, 1.5212395520748736e-05]",4430.454163235117,4429.002704764438,1.4514584706794267,0.05,142.75886960122898,495,"[114.60438547943384, 112.39353055409529, 99.82999586530276, 2.782258878061001, 142.75886960122898, 77.0087081921988, 108.6693329311827, 119.06148654319455, 72.40707968625021, 102.22192874508896, 52.30110163596218, 69.85405064116856, 70.92049975402313]","[11, 11, 11, 11, 319, 22, 11, 11, 22, 11, 11, 22, 22]"
1080.0,9,"[-1.0935555090837942e-05, 9.082762653430254e-05, -2.4967489373487436e-05, 3.0337932418867242e-05, -3.12484989251332e-06, 1.5212395520748736e-05]","[-0.0, -0.01, -0.0]",0.18314620985585847,"[3.2883504730151734e-05, -4.634438072422708e-06, 2.6933812291258454e-05, 2.549881519751311e-05, 4.899998370444761e-06, 1.4736745919641672e-05]",4429.002704764438,3413.423472829811,1015.5792319346269,0.01,1553.0889656502843,495,"[1417.1359630418149, 1323.733328327993, 1325.435457017851, 1313.686900180587, 1379.7641274110445, 1437.774749611988, 1553.0889656502843, 1244.2495215781635, 1357.6450121819269, 1478.0174332807103, 1413.0403534376328, 1329.4348032413106, 1471.9168516598222]","[11, 11, 11, 11, 11, 11, 363, 11, 11, 11, 11, 11, 11]"
