time,state,action,reward,next_state
0.0,"[9.869709371666017e-05, -2.446153765195141e-05, 6.6129798617164075e-06, 0.00013408453915946802, -8.130665550499627e-05, 2.3189742646089913e-05]","[-0.0, -0.0, -0.05]",207.08008112030075,"[ 0.00000000e+00 -2.44615377e-05  1.09450907e-05  1.33800598e-04
 -6.70302983e-03  2.40054997e-04]"
30.0,"[0.0, -2.446153765195141e-05, 1.0945090709437353e-05, 0.00013380059840531567, -0.006703029828251946, 0.00024005499722526603]","[-0.0, -0.0, -0.05]",66.48725012558043,"[ 0.00000000e+00 -2.44615377e-05  1.52657552e-05  1.33376729e-04
 -1.33142783e-02  6.70917565e-04]"
60.0,"[0.0, -2.446153765195141e-05, 1.526575518985315e-05, 0.00013337672908997973, -0.013314278255168609, 0.0006709175654875217]","[0.0, 0.0, 0.0]",0.0,"[ 0.00000000e+00 -2.44615377e-05  1.95704548e-05  1.32813374e-04
 -1.32856224e-02  1.10107849e-03]"
90.0,"[0.0, -2.446153765195141e-05, 1.9570454755428834e-05, 0.0001328133744956587, -0.013285622379003995, 0.0011010784886844307]","[0.0, 0.0, 0.0]",0.0,"[ 0.00000000e+00 -2.44615377e-05  2.38546876e-05  1.32111124e-04
 -1.32430724e-02  1.53008790e-03]"
120.0,"[0.0, -2.446153765195142e-05, 2.385468755472489e-05, 0.00013211112377814683, -0.013243072409344437, 0.001530087904858889]","[0.0, 0.0, 0.0]",0.0,"[ 0.00000000e+00 -2.44615377e-05  2.81139731e-05  1.31270711e-04
 -1.31866728e-02  1.95749716e-03]"
150.0,"[0.0, -2.446153765195143e-05, 2.8113973140429977e-05, 0.0001312707113506953, -0.013186672844914935, 0.0019574971562989363]","[0.0, 0.0, 0.0]",0.0,"[ 0.00000000e+00 -2.44615377e-05  3.23438572e-05  1.30293016e-04
 -1.31164827e-02  2.38285926e-03]"
180.0,"[0.0, -2.446153765195145e-05, 3.234385715500922e-05, 0.0001302930161159636, -0.013116482668335863, 0.0023828592587436387]","[0.0, 0.0, 0.0]",0.0,"[ 0.00000000e+00 -2.44615377e-05  3.65399160e-05  1.29179061e-04
 -1.30325753e-02  2.80572937e-03]"
210.0,"[0.0, -2.4461537651951472e-05, 3.653991598906783e-05, 0.00012917906054686363, -0.013032575284439003, 0.0028057293688388825]","[0.0, 0.0, 0.0]",0.0,"[ 0.00000000e+00 -2.44615377e-05  4.06977614e-05  1.27930010e-04
 -1.29350384e-02  3.22566525e-03]"
240.0,"[0.0, -2.446153765195148e-05, 4.0697761407558354e-05, 0.0001279300096172585, -0.012935038443500819, 0.003225665249354204]","[0.0, 0.0, 0.0]",0.0,"[ 0.00000000e+00 -2.44615377e-05  4.48130451e-05  1.26547170e-04
 -1.28239741e-02  3.64222773e-03]"
270.0,"[0.0, -2.4461537651951492e-05, 4.4813045138993474e-05, 0.00012654716958363361, -0.012823974149473293, 0.0036422277316741393]","[0.0, 0.0, 0.0]",0.0,"[ 0.00000000e+00 -2.44615377e-05  4.88814634e-05  1.25031987e-04
 -1.26994986e-02  4.05498118e-03]"
300.0,"[0.0, -2.4461537651951492e-05, 4.888146342286489e-05, 0.00012503198661901487, -0.012699498553308272, 0.004054981175080419]","[0.0, 0.0, 0.0]",0.0,"[ 0.00000000e+00 -2.44615377e-05  5.28987615e-05  1.23386045e-04
 -1.25617418e-02  4.46349392e-03]"
