time,step,state,action,reward,next_state,entropy_before,entropy_after,info_gain,dv_cost,predicted_value,root_N,root_Q_sa,root_N_sa
0.0,0,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[-0.0, -0.05, -0.0]",0.13950083040212333,"[-1.7942463705526653e-06, 3.2524927821933116e-05, 6.679940063426293e-06, -2.6783402287189494e-06, 6.18589574131742e-06, -3.5714285714285705e-06]",5545.177444479563,4771.57058624754,773.6068582320231,0.05,908.8433341463972,990,"[832.557055941251, 815.1378760243941, 795.7969897877273, 635.2122392924722, 750.3648322674652, 789.8515248966968, 748.1989447166744, 761.0388604274609, 908.8433341463972, 771.5319973507593, 744.448769186114, 832.8555779027009, 809.0374415000796]","[165, 11, 11, 11, 11, 11, 11, 11, 660, 11, 11, 44, 22]"
120.0,1,"[-1.7942463705526653e-06, 3.2524927821933116e-05, 6.679940063426293e-06, -2.6783402287189494e-06, 6.18589574131742e-06, -3.5714285714285705e-06]","[0.05, 0.0, 0.0]",0.0001263942996774037,"[1.995155849754011e-06, 2.1097942670413765e-05, 1.3250999639649938e-05, -1.4430766505828398e-06, 3.571428571428572e-06, -6.185895741317417e-06]",4771.57058624754,4770.819707427858,0.7508788196819296,0.05,1620.9274111292048,990,"[205.30058365744756, 28.078376705568875, 318.99369409395877, 1620.9274111292048, 1.8941587802067696, 185.84826144186056, 152.29237458513452, 239.46144296969703, 178.08751372236134, 360.4550571886403, 240.41180725760495, 196.40729280390585, 46.84527292323751]","[11, 11, 11, 858, 11, 11, 11, 11, 11, 11, 11, 11, 11]"
240.0,2,"[1.995155849754011e-06, 2.1097942670413765e-05, 1.3250999639649938e-05, -1.4430766505828398e-06, 3.571428571428572e-06, -6.185895741317417e-06]","[0.05, 0.0, 0.0]",1.1599927788608117e-05,"[6.119585334577593e-06, 9.154694576124949e-06, 1.89121725358564e-05, -1.1203683563375495e-06, 9.912705577010327e-22, -7.142857142857141e-06]",4770.819707427858,4770.705383769927,0.11432365793098143,0.05,2021.0154055355026,990,"[225.18709742398957, 181.5737458950437, 333.205389810505, 2021.0154055355026, 95.38290866890169, 1382.0355012583705, 66.82400437778766, 150.10088915236784, 737.9064399096025, 1049.9303735950618, 310.9614537721072, 1273.7587216589534, 1301.3323705393734]","[11, 11, 11, 803, 11, 33, 11, 11, 11, 22, 11, 22, 22]"
360.0,3,"[6.119585334577593e-06, 9.154694576124949e-06, 1.89121725358564e-05, -1.1203683563375495e-06, 9.912705577010327e-22, -7.142857142857141e-06]","[0.05, 0.0, 0.0]",-8.603779892632266e-06,"[7.735162333896786e-06, 4.372149723200158e-06, 2.421215331865713e-05, -4.880553252878923e-06, -3.5714285714285697e-06, -6.185895741317417e-06]",4770.705383769927,4770.703093256125,0.0022905138021087623,0.05,2361.0834502412827,990,"[2235.9228309642963, 1043.8002338702393, 2121.1044772567097, 2361.0834502412827, 1573.5524562445519, 1852.478667491607, 1977.353944355815, 2262.9847667461004, 2116.203015205148, 1859.4728321234545, 823.1762774617061, 2215.206385179004, 2121.2742917038627]","[44, 11, 11, 726, 11, 11, 11, 33, 44, 11, 11, 22, 44]"
480.0,4,"[7.735162333896786e-06, 4.372149723200158e-06, 2.421215331865713e-05, -4.880553252878923e-06, -3.5714285714285697e-06, -6.185895741317417e-06]","[-0.0, -0.0, -0.05]",-9.016844005556021e-06,"[4.942879766184154e-06, 2.8517373085622853e-05, 2.2290308828748282e-05, -1.0639093039323083e-05, -1.1944445984671776e-05, -6.849036426675238e-06]",4770.703093256125,4770.703093256125,0.0,0.05,2853.8100645918926,990,"[2145.9363607444216, 2465.1986878916064, 2594.4725779288715, 2214.414730568737, 695.3493898743972, 2329.528953599182, 2067.347642894434, 2433.2214932745196, 2214.3575726941344, 1944.898899152486, 2586.1698666358257, 2465.3953388018413, 2853.8100645918926]","[11, 11, 11, 11, 11, 11, 11, 22, 11, 11, 154, 22, 693]"
600.0,5,"[4.942879766184154e-06, 2.8517373085622853e-05, 2.2290308828748282e-05, -1.0639093039323083e-05, -1.1944445984671776e-05, -6.849036426675238e-06]","[0.05, 0.0, 0.0]",0.024723354337515185,"[-5.137773607753566e-06, 8.523032317855168e-05, 1.844798480047509e-05, -2.5310186840624688e-05, -1.376871187019441e-05, 4.078345539013591e-08]",4770.703093256125,4633.5577064318595,137.1453868242652,0.05,2247.4615746128775,990,"[1647.735729194814, 2009.4105449804304, 1566.2880664292754, 2247.4615746128775, 1318.5982921897669, 2072.1873399266938, 1663.0635248342808, 1291.8112623730212, 613.6910572794942, 1123.5700558033584, 1890.5050805219653, 1920.6026797227642, 2112.0792097545464]","[11, 11, 11, 737, 11, 33, 11, 11, 11, 11, 22, 55, 55]"
720.0,6,"[-5.137773607753566e-06, 8.523032317855168e-05, 1.844798480047509e-05, -2.5310186840624688e-05, -1.376871187019441e-05, 4.078345539013591e-08]","[0.05, 0.0, 0.0]",-9.016844005556021e-06,"[-2.330655535736964e-05, 0.00018858382831937848, -8.012837322508967e-07, -3.67360947911222e-05, -1.1903662529281641e-05, 6.919675443519172e-06]",4633.5577064318595,4633.5577064318595,0.0,0.05,885.9348293943721,990,"[191.1282370143567, 292.54845195802267, 452.5690201265425, 885.9348293943721, 299.26375240308295, 629.5687210314073, 141.70004231907254, 541.9954832633565, 213.96703832828868, 560.7900350346252, 626.6595925927195, 478.4419831001415, 413.4951538814024]","[11, 11, 22, 792, 11, 11, 11, 11, 11, 44, 11, 33, 11]"
840.0,7,"[-2.330655535736964e-05, 0.00018858382831937848, -8.012837322508967e-07, -3.67360947911222e-05, -1.1903662529281641e-05, 6.919675443519172e-06]","[-0.01, -0.0, -0.0]",-1.8033688011112042e-06,"[-3.657222419237638e-05, 0.00025506491195790345, -3.229420553067451e-05, -1.7244647430144004e-05, -6.849036426675239e-06, 1.1944445984671775e-05]",4633.5577064318595,4633.5577064318595,0.0,0.01,0.47958267904734364,990,"[-0.25788064284023915, -0.19983728700084727, 0.47958267904734364, -0.2798563128592751, -0.2776476712634314, -0.24688895669367625, -0.23653713468229484, -0.3136069875787664, -0.2915045235361247, -0.2495996837069068, -0.2617348227084758, 0.430464839753489, -0.3223605493656172]","[66, 66, 165, 55, 55, 66, 66, 55, 55, 66, 66, 154, 55]"
960.0,8,"[-3.657222419237638e-05, 0.00025506491195790345, -3.229420553067451e-05, -1.7244647430144004e-05, -6.849036426675239e-06, 1.1944445984671775e-05]","[-0.0, -0.0, -0.05]",0.00012031271043932698,"[-1.3355216346393183e-05, 0.0001665375502759704, -2.5746100424093073e-05, 2.6027521756785353e-05, -3.3425933184720338e-06, 8.071662128082161e-06]",4633.5577064318595,4632.840551103647,0.7171553282123568,0.05,48.5517314671597,990,"[0.5431219128983004, 0.5150495477973173, 0.61047311830289, 0.35656837326046814, 3.0149680849550946, -0.7326398339305616, 8.191136603301276, 0.4454293132695387, 0.5139472631594738, 0.6048675177687491, 11.319606190562508, -0.15342895530373446, 48.5517314671597]","[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 22, 11, 847]"
1080.0,9,"[-1.3355216346393183e-05, 0.0001665375502759704, -2.5746100424093073e-05, 2.6027521756785353e-05, -3.3425933184720338e-06, 8.071662128082161e-06]","[0.01, 0.0, 0.0]",0.014376700332667417,"[3.1350513560323936e-05, 6.943376895309393e-05, 2.5418156198203334e-05, 2.522405227402299e-05, 1.1410603357241708e-06, 8.661561112919933e-06]",4632.840551103647,4553.109196692898,79.73135441074919,0.01,295.20099554051995,990,"[232.6080479152718, 295.20099554051995, 172.09359886589843, 212.0451820852133, 215.20495458419597, 228.3155025747301, 158.85415923599928, 214.48090991149726, 189.91586427782758, 228.9578965608448, 228.35059616993843, 211.81124546630872, 237.02582713282507]","[44, 803, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 33]"
