mcts_iters,mcts_c,gamma,max_horizon,lambda_dv,seed,final_entropy,total_dv_cost,total_info_gain,info_gain_per_dv,elapsed_time_seconds,method
500,0.7,0.9,10,0.001,0,128.3084291750955,0.7600000000000001,5416.869015304467,7127.459230663771,9902.693870544434,
500,0.7,0.9,10,0.001,1,112.32888806518544,0.7600000000000001,5432.8485564143775,7148.484942650495,10282.01495742798,
500,1.4,0.95,10,0.01,0,1468.5200239246783,0.71,4076.6574205548845,5741.771014866034,3361.9398021698,parallel_cpu
500,1.4,0.95,10,0.1,0,1468.5200239246783,0.71,4076.6574205548845,5741.771014866034,3204.4777772426605,parallel_cpu
500,1.4,0.95,20,0.01,0,1618.8909436705942,0.46,3926.2865008089684,8535.405436541236,3614.619787454605,parallel_cpu
500,1.4,0.95,20,0.1,0,1618.8909436705942,0.46,3926.2865008089684,8535.405436541236,3600.395427942276,parallel_cpu
500,1.4,0.99,10,0.01,0,4553.109196692898,0.42,992.0682477866649,2362.0672566349162,1277.3892495632172,parallel_cpu
500,1.4,0.99,10,0.1,0,4553.109196692898,0.42,992.0682477866649,2362.0672566349162,1274.017361164093,parallel_cpu
500,1.4,0.99,20,0.01,0,188.71914828412773,0.7500000000000001,5356.458296195435,7141.944394927245,13212.581827402115,parallel_cpu
500,1.4,0.99,20,0.1,0,189.41343932391675,0.7900000000000001,5355.7640051556455,6779.448107791955,12580.00329041481,parallel_cpu
500,2.0,0.95,10,0.01,0,4390.850461273814,0.34,1154.3269832057485,3395.0793623698482,1323.8157749176025,parallel_cpu
