time,step,action,reward,entropy,state,next_state
0.0,1,"[0.0, 0.01, 0.0]",0.36140595822564087,1464.3408203125,"[0.0, 2.681347625430022e-05, 1.3751595940464764e-05, 1.0319444142728232e-06, 7.4508508163295665e-06, 1.0222024450042163e-06]","[2.65039209651738e-06, 2.6299192243837996e-05, 1.6046902826038313e-05, 2.357140462531513e-06, 7.4508508163295665e-06, 1.0222024450042163e-06]"
120.0,2,"[0.01, 0.0, 0.0]",0.13727268363712888,1121.2618408203125,"[2.65039209651738e-06, 2.6299192243837996e-05, 1.6046902826038313e-05, 2.357140462531513e-06, 7.4508508163295665e-06, 1.0222024450042163e-06]","[2.65039209651738e-06, 2.313451613685839e-05, 1.6852012316884648e-05, 1.3045516187422554e-06, 7.4508508163295665e-06, 1.0222024450042163e-06]"
240.0,3,"[0.0, 0.0, 0.01]",0.07769598171588397,916.9697265625,"[2.65039209651738e-06, 2.313451613685839e-05, 1.6852012316884648e-05, 1.3045516187422554e-06, 7.4508508163295665e-06, 1.0222024450042163e-06]","[2.65039209651738e-06, 2.2620232126396165e-05, 1.6852012316884648e-05, 1.3045516187422554e-06, 8.390785330299534e-06, 1.956369280086949e-06]"
360.0,4,"[0.0, 0.0, 0.01]",0.03142919484870518,820.4583740234375,"[2.65039209651738e-06, 2.2620232126396165e-05, 1.6852012316884648e-05, 1.3045516187422554e-06, 8.390785330299534e-06, 1.956369280086949e-06]","[2.65039209651738e-06, 2.210594811593394e-05, 1.6852012316884648e-05, 1.3045516187422554e-06, 9.20235834142783e-06, 3.0039826696198435e-06]"
480.0,5,"[-0.01, -0.0, -0.0]",0.03347130750755043,719.1898193359375,"[2.65039209651738e-06, 2.210594811593394e-05, 1.6852012316884648e-05, 1.3045516187422554e-06, 9.20235834142783e-06, 3.0039826696198435e-06]","[2.65039209651738e-06, 2.4242056201989097e-05, 1.5708458959291805e-05, 1.974200993160376e-06, 9.20235834142783e-06, 3.0039826696198435e-06]"
600.0,6,"[-0.0, -0.05, -0.0]",-0.03449999234947915,683.081787109375,"[2.65039209651738e-06, 2.4242056201989097e-05, 1.5708458959291805e-05, 1.974200993160376e-06, 9.20235834142783e-06, 3.0039826696198435e-06]","[-1.0601568386069519e-05, 2.6311205552337842e-05, 1.0543106171648998e-05, -1.0229633945547846e-05, 9.20235834142783e-06, 3.0039826696198435e-06]"
720.0,7,"[0.01, 0.0, 0.0]",0.005484444604674531,647.010009765625,"[-1.0601568386069519e-05, 2.6311205552337842e-05, 1.0543106171648998e-05, -1.0229633945547846e-05, 9.20235834142783e-06, 3.0039826696198435e-06]","[-1.0601568386069519e-05, 2.571798357413917e-05, 1.1819926067546117e-05, -1.0584423347534038e-05, 9.20235834142783e-06, 3.0039826696198435e-06]"
840.0,8,"[0.0, 0.0, 0.05]",-0.03183934031969117,604.703857421875,"[-1.0601568386069519e-05, 2.571798357413917e-05, 1.1819926067546117e-05, -1.0584423347534038e-05, 9.20235834142783e-06, 3.0039826696198435e-06]","[-1.0601568386069519e-05, 2.7775153692457877e-05, 1.1819926067546117e-05, -1.0584423347534038e-05, 1.0137931676080616e-05, 9.563579966214954e-06]"
960.0,9,"[-0.0, -0.0, -0.01]",0.004292640177978363,571.408447265625,"[-1.0601568386069519e-05, 2.7775153692457877e-05, 1.1819926067546117e-05, -1.0584423347534038e-05, 1.0137931676080616e-05, 9.563579966214954e-06]","[-1.0601568386069519e-05, 2.9832323810776585e-05, 1.1819926067546117e-05, -1.0584423347534038e-05, 1.0121618602944065e-05, 8.238484328170178e-06]"
1080.0,10,"[0.0, 0.0, 0.01]",-0.006125273191715555,562.382080078125,"[-1.0601568386069519e-05, 2.9832323810776585e-05, 1.1819926067546117e-05, -1.0584423347534038e-05, 1.0121618602944065e-05, 8.238484328170178e-06]","[-1.0601568386069519e-05, 3.188949392909529e-05, 1.1819926067546117e-05, -1.0584423347534038e-05, 9.96685747578214e-06, 9.55461257414016e-06]"
1200.0,11,"[-0.0, -0.0, -0.05]",-0.036608601658758684,531.1861572265625,"[-1.0601568386069519e-05, 3.188949392909529e-05, 1.1819926067546117e-05, -1.0584423347534038e-05, 9.96685747578214e-06, 9.55461257414016e-06]","[-1.0601568386069519e-05, 3.394666404741399e-05, 1.1819926067546117e-05, -1.0584423347534038e-05, 1.158310310690583e-05, 3.1287768916872696e-06]"
1320.0,12,"[-0.0, -0.0, -0.01]",-0.006719393776919616,523.5438232421875,"[-1.0601568386069519e-05, 3.394666404741399e-05, 1.1819926067546117e-05, -1.0584423347534038e-05, 1.158310310690583e-05, 3.1287768916872696e-06]","[-1.0601568386069519e-05, 3.600383416573269e-05, 1.1819926067546117e-05, -1.0584423347534038e-05, 1.2069438441026568e-05, 1.8960471933729477e-06]"
1440.0,13,"[0.0, 0.05, 0.0]",-0.04761754396481851,517.9937744140625,"[-1.0601568386069519e-05, 3.600383416573269e-05, 1.1819926067546117e-05, -1.0584423347534038e-05, 1.2069438441026568e-05, 1.8960471933729477e-06]","[2.6503920965173806e-06, 3.546967560333781e-05, 5.406981769211129e-06, 1.0124987466467109e-06, 1.2069438441026568e-05, 1.8960471933729477e-06]"
1560.0,14,"[0.05, 0.0, 0.0]",-0.04345150785477928,502.7387390136719,"[2.6503920965173806e-06, 3.546967560333781e-05, 5.406981769211129e-06, 1.0124987466467109e-06, 1.2069438441026568e-05, 1.8960471933729477e-06]","[2.6503920965173806e-06, 2.1703431110288685e-05, 1.0743357737382413e-05, 4.940183266097731e-06, 1.2069438441026568e-05, 1.8960471933729477e-06]"
1680.0,15,"[0.0, 0.01, 0.0]",-0.004940398774491361,490.9521484375,"[2.6503920965173806e-06, 2.1703431110288685e-05, 1.0743357737382413e-05, 4.940183266097731e-06, 1.2069438441026568e-05, 1.8960471933729477e-06]","[5.300784193034761e-06, 2.067100509976018e-05, 8.910053074473764e-06, 6.8542293152405405e-06, 1.2069438441026568e-05, 1.8960471933729477e-06]"
1800.0,16,"[0.0, 0.0, 0.01]",-0.006131037282769749,481.939208984375,"[5.300784193034761e-06, 2.067100509976018e-05, 8.910053074473764e-06, 6.8542293152405405e-06, 1.2069438441026568e-05, 1.8960471933729477e-06]","[5.300784193034761e-06, 1.964244048648271e-05, 8.910053074473764e-06, 6.8542293152405405e-06, 1.1036988788277792e-05, 2.726825311079102e-06]"
1920.0,17,"[0.0, 0.0, 0.01]",-0.0037516728964264107,467.3834228515625,"[5.300784193034761e-06, 1.964244048648271e-05, 8.910053074473764e-06, 6.8542293152405405e-06, 1.1036988788277792e-05, 2.726825311079102e-06]","[5.300784193034761e-06, 1.8613875873205242e-05, 8.910053074473764e-06, 6.8542293152405405e-06, 9.90599500059127e-06, 3.4174754529997007e-06]"
2040.0,18,"[-0.05, -0.0, -0.0]",-0.046129124652556315,458.36602783203125,"[5.300784193034761e-06, 1.8613875873205242e-05, 8.910053074473764e-06, 6.8542293152405405e-06, 9.90599500059127e-06, 3.4174754529997007e-06]","[5.300784193034761e-06, 3.083727174251467e-05, 6.215149249530575e-06, 8.010394510187208e-07, 9.90599500059127e-06, 3.4174754529997007e-06]"
2160.0,19,"[-0.0, -0.0, -0.05]",-0.04494159089332303,446.58221435546875,"[5.300784193034761e-06, 3.083727174251467e-05, 6.215149249530575e-06, 8.010394510187208e-07, 9.90599500059127e-06, 3.4174754529997007e-06]","[5.300784193034761e-06, 2.98087071292372e-05, 6.215149249530575e-06, 8.010394510187208e-07, 1.6256251402587463e-05, 1.5259528422658046e-06]"
2280.0,20,"[-0.05, -0.0, -0.0]",-0.04434532187418058,433.40936279296875,"[5.300784193034761e-06, 2.98087071292372e-05, 6.215149249530575e-06, 8.010394510187208e-07, 1.6256251402587463e-05, 1.5259528422658046e-06]","[5.300784193034761e-06, 4.203210299854663e-05, 5.158616941172183e-06, -5.740164844782328e-06, 1.6256251402587463e-05, 1.5259528422658046e-06]"
2400.0,21,"[-0.01, -0.0, -0.0]",-0.0025600780730413043,416.07769775390625,"[5.300784193034761e-06, 4.203210299854663e-05, 5.158616941172183e-06, -5.740164844782328e-06, 1.6256251402587463e-05, 1.5259528422658046e-06]","[5.300784193034761e-06, 4.365393048178654e-05, 5.117839665926291e-06, -7.06473337081032e-06, 1.6256251402587463e-05, 1.5259528422658046e-06]"
2520.0,22,"[0.0, 0.05, 0.0]",-0.04880363670128825,413.29071044921875,"[5.300784193034761e-06, 4.365393048178654e-05, 5.117839665926291e-06, -7.06473337081032e-06, 1.6256251402587463e-05, 1.5259528422658046e-06]","[1.855274467562166e-05, 4.0045817637159015e-05, -8.069774640307747e-06, -8.369066741561875e-06, 1.6256251402587463e-05, 1.5259528422658046e-06]"
2640.0,23,"[-0.0, -0.0, -0.05]",-0.03751076050998163,384.1964111328125,"[1.855274467562166e-05, 4.0045817637159015e-05, -8.069774640307747e-06, -8.369066741561875e-06, 1.6256251402587463e-05, 1.5259528422658046e-06]","[1.855274467562166e-05, 3.6445901124510054e-05, -8.069774640307747e-06, -8.369066741561875e-06, 2.2710834476932275e-05, 3.0232742821686333e-06]"
2760.0,24,"[0.0, 0.0, 0.01]",-0.0004789922985455417,362.0167541503906,"[1.855274467562166e-05, 3.6445901124510054e-05, -8.069774640307747e-06, -8.369066741561875e-06, 2.2710834476932275e-05, 3.0232742821686333e-06]","[1.855274467562166e-05, 3.284598461186109e-05, -8.069774640307747e-06, -8.369066741561875e-06, 2.1469335085603454e-05, 2.5597833678557256e-06]"
2880.0,25,"[0.0, 0.0, 0.05]",-0.041965721684112306,343.3005065917969,"[1.855274467562166e-05, 3.284598461186109e-05, -8.069774640307747e-06, -8.369066741561875e-06, 2.1469335085603454e-05, 2.5597833678557256e-06]","[1.855274467562166e-05, 2.9246068099212136e-05, -8.069774640307747e-06, -8.369066741561875e-06, 1.561265724857111e-05, -5.390775311239895e-07]"
3000.0,26,"[-0.01, -0.0, -0.0]",-0.007614910823223292,337.74432373046875,"[1.855274467562166e-05, 2.9246068099212136e-05, -8.069774640307747e-06, -8.369066741561875e-06, 1.561265724857111e-05, -5.390775311239895e-07]","[1.855274467562166e-05, 2.8296543683080556e-05, -7.304078160027741e-06, -9.450664386902904e-06, 1.561265724857111e-05, -5.390775311239895e-07]"
