time,state,action,reward,next_state
0.0,"[-1.1222135822557e-05, 9.923456088821159e-05, 2.0195332309403958e-05, 0.0002550369857057256, -8.465363055465458e-05, -3.362977348573797e-05]","[0.0, 0.0, 0.01]",101.1160262326548,"[ 0.00000000e+00  9.92345609e-05  2.84312889e-05  2.54250619e-04
  1.23880633e-03 -7.37246205e-05]"
30.0,"[0.0, 9.92345608882116e-05, 2.8431288875187998e-05, 0.00025425061914938446, 0.001238806333577949, -7.37246205472498e-05]","[0.0, 0.0, 0.0]",36.718506293579594,"[ 0.00000000e+00  9.92345609e-05  3.66375120e-05  2.53198357e-04
  1.23577471e-03 -1.13742366e-04]"
60.0,"[0.0, 9.923456088821157e-05, 3.663751202129892e-05, 0.0002531983574943545, 0.0012357747067569215, -0.00011374236645824413]","[0.0, 0.0, 0.0]",21.478415307947216,"[ 0.00000000e+00  9.92345609e-05  4.48054197e-05  2.51881301e-04
  1.23145071e-03 -1.53641161e-04]"
90.0,"[0.0, 9.923456088821153e-05, 4.4805419685987564e-05, 0.0002518813011950515, 0.0012314507077139122, -0.00015364116069134008]","[-0.0, -0.0, -0.01]",22.176706982606447,"[ 0.00000000e+00  9.92345609e-05  5.29264699e-05  2.50300828e-04
 -9.86642453e-05 -1.50529605e-04]"
120.0,"[0.0, 9.923456088821153e-05, 5.2926469877805306e-05, 0.00025030082762792356, -9.866424527945177e-05, -0.00015052960451643636]","[-0.0, -0.0, -0.05]",51.25344675046654,"[ 0.00000000e+00  9.92345609e-05  6.09921696e-05  2.48458590e-04
 -6.72599549e-03  6.69877384e-05]"
150.0,"[0.0, 9.923456088821149e-05, 6.0992169608811996e-05, 0.0002484585896509912, -0.00672599548583952, 6.698773841262116e-05]","[0.0, 0.0, 0.0]",63.718091310406635,"[ 0.00000000e+00  9.92345609e-05  6.89940838e-05  2.46356514e-04
 -6.72031244e-03  2.84435026e-04]"
180.0,"[0.0, 9.923456088821146e-05, 6.899408377653612e-05, 0.0002463565138752902, -0.006720312444286602, 0.0002844350256172295]","[0.01, 0.0, 0.0]",0.0,"[ 0.00000000e+00 -2.55115754e-03  3.40741714e-05 -1.08050631e-03
 -6.70760131e-03  5.01584851e-04]"
210.0,"[0.0, -0.0025511575356291683, 3.40741713831062e-05, -0.0010805063051131675, -0.006707601305234562, 0.0005015848508944684]","[0.0, 0.0, 0.0]",0.0,"[ 0.00000000e+00 -2.55115754e-03 -8.81375752e-07 -1.08104308e-03
 -6.68787536e-03  7.18210119e-04]"
240.0,"[0.0, -0.0025511575356291683, -8.813757521110468e-07, -0.0010810430831939765, -0.006687875361982682, 0.0007182101191268685]","[0.0, 0.0, 0.0]",0.0,"[ 0.00000000e+00 -2.55115754e-03 -3.58360011e-05 -1.08044931e-03
 -6.66115524e-03  9.34084284e-04]"
270.0,"[0.0, -0.0025511575356291687, -3.583600114525595e-05, -0.0010804493072637293, -0.00666115524390699, 0.0009340842837783076]","[0.0, 0.0, 0.0]",0.0,"[ 0.00000000e+00 -2.55115754e-03 -7.07531493e-05 -1.07872560e-03
 -6.62746889e-03  1.14898158e-03]"
