time,state,action,reward,next_state
0.0,"[6.677975806862784e-05, -6.151917516297545e-05, -7.899886430377602e-05, 0.0001429293772468292, -1.5688373224038714e-05, -2.6086363070567406e-07]","[0.0, 0.0, 0.01]",285.3411151222863,"[ 0.00000000e+00 -6.15191752e-05 -7.43359928e-05  1.45409036e-04
  1.30881450e-03 -4.26031227e-05]"
30.0,"[0.0, -6.151917516297544e-05, -7.433599283161487e-05, 0.00014540903552114962, 0.001308814499064495, -4.260312269127082e-05]","[-0.0, -0.0, -0.05]",226.49734618233742,"[ 0.00000000e+00 -6.15191752e-05 -6.95953808e-05  1.47736625e-04
 -5.31576295e-03  1.29347536e-04]"
60.0,"[0.0, -6.151917516297544e-05, -6.959538083627925e-05, 0.00014773662513982815, -0.005315762952901276, 0.00012934753557202082]","[0.0, 0.0, 0.01]",137.83110295623555,"[ 0.00000000e+00 -6.15191752e-05 -6.47819860e-05  1.49909712e-04
 -3.98429784e-03  2.58313250e-04]"
90.0,"[0.0, -6.151917516297541e-05, -6.478198604608688e-05, 0.00014990971191146174, -0.0039842978390710534, 0.00025831324968146553]","[0.0, 0.0, 0.01]",121.21500639866372,"[ 0.00000000e+00 -6.15191752e-05 -5.99008423e-05  1.51926023e-04
 -2.64935889e-03  3.44159147e-04]"
120.0,"[0.0, -6.15191751629754e-05, -5.990084230554538e-05, 0.0001519260232236039, -0.0026493588941718495, 0.00034415914739409565]","[0.0, 0.0, 0.05]",130.93449963376315,"[ 0.00000000e+00 -6.15191752e-05 -5.49570543e-05  1.53783450e-04
  3.98567022e-03  2.15396761e-04]"
150.0,"[0.0, -6.15191751629754e-05, -5.495705431096167e-05, 0.00015378345041946114, 0.003985670218744411, 0.00021539676072804392]","[0.0, 0.0, 0.01]",310.32070548370575,"[ 0.00000000e+00 -6.15191752e-05 -4.99557923e-05  1.55480051e-04
  5.31505398e-03  4.35594397e-05]"
180.0,"[0.0, -6.151917516297537e-05, -4.995579227195458e-05, 0.00015548005100312444, 0.005315053983332341, 4.35594396957654e-05]","[-0.0, -0.0, -0.01]",176.66849183560953,"[ 0.00000000e+00 -6.15191752e-05 -4.49022865e-05  1.57014051e-04
  3.98918012e-03 -8.54737632e-05]"
210.0,"[0.0, -6.15191751629754e-05, -4.4902286504453643e-05, 0.00015701405067103014, 0.003989180116598858, -8.547376316219243e-05]","[-0.0, -0.0, -0.05]",200.22349090119542,"[ 0.00000000e+00 -6.15191752e-05 -3.98018220e-05  1.58383845e-04
 -2.63818510e-03 -1.69214614e-07]"
240.0,"[0.0, -6.15191751629754e-05, -3.980182196083879e-05, 0.00015838384516752505, -0.0026381851021383884, -1.692146140127367e-07]","[0.0, 0.0, 0.01]",224.50650521281887,"[ 0.00000000e+00 -6.15191752e-05 -3.46597327e-05  1.59588002e-04
 -1.31230796e-03  4.22858383e-05]"
270.0,"[0.0, -6.151917516297538e-05, -3.465973270294131e-05, 0.00015958800196259594, -0.0013123079639021714, 4.2285838296385805e-05]","[-0.0, -0.0, -0.01]",206.4841078752379,"[ 0.00000000e+00 -6.15191752e-05 -2.94813963e-05  1.60625262e-04
 -2.63475757e-03  1.27546341e-04]"
300.0,"[0.0, -6.151917516297538e-05, -2.9481396323686124e-05, 0.00016062526175000808, -0.002634757567045378, 0.00012754634131245259]","[0.0, 0.0, 0.05]",320.80022511942707,"[ 0.00000000e+00 -6.15191752e-05 -2.42722283e-05  1.61494540e-04
  3.99325982e-03 -1.57490655e-06]"
330.0,"[0.0, -6.151917516297537e-05, -2.4272228323209332e-05, 0.00016149453976428696, 0.0039932598242893615, -1.574906546948006e-06]","[-0.0, -0.0, -0.05]",205.13497040735865,"[ 0.00000000e+00 -6.15191752e-05 -1.90376764e-05  1.62194927e-04
 -2.63139469e-03  8.35538556e-05]"
360.0,"[0.0, -6.151917516297536e-05, -1.9037676445332393e-05, 0.00016219492691516496, -0.0026313946924869176, 8.355385564114748e-05]","[0.0, 0.0, 0.05]",175.37308560813835,"[ 0.00000000e+00 -6.15191752e-05 -1.37832150e-05  1.62725691e-04
  3.99519846e-03 -4.56531257e-05]"
390.0,"[0.0, -6.151917516297536e-05, -1.3783214980315904e-05, 0.0001627256907383074, 0.003995198461357927, -4.565312573911033e-05]","[-0.0, -0.0, -0.05]",222.44993038350185,"[ 0.00000000e+00 -6.15191752e-05 -8.51433904e-06  1.63086276e-04
 -2.63088232e-03  3.94359999e-05]"
420.0,"[0.0, -6.151917516297534e-05, -8.514339039851124e-06, 0.0001630862761613231, -0.0026308823203333763, 3.943599989529103e-05]","[0.0, 0.0, 0.0]",189.86744136070047,"[ 0.00000000e+00 -6.15191752e-05 -3.23655881e-06  1.63276306e-04
 -2.62823149e-03  1.24483883e-04]"
450.0,"[0.0, -6.151917516297534e-05, -3.236558810276465e-06, 0.00016327630608425857, -0.0026282314860579087, 0.00012448388339183982]","[0.0, 0.0, 0.05]",207.94242655808284,"[ 0.00000000e+00 -6.15191752e-05  2.04460621e-06  1.63295582e-04
  3.99968347e-03 -4.84678127e-06]"
480.0,"[0.0, -6.151917516297534e-05, 2.0446062099710753e-06, 0.00016329558177396907, 0.00399968346946642, -4.846781270980094e-06]","[-0.0, -0.0, -0.05]",156.690124081696,"[ 0.00000000e+00 -6.15191752e-05  7.32363298e-06  1.63144083e-04
 -2.62508020e-03  8.00759858e-05]"
510.0,"[0.0, -6.151917516297534e-05, 7.323632982643059e-06, 0.0001631440830719534, -0.00262508020096337, 8.007598583772396e-05]","[0.0, 0.0, 0.01]",136.5557031911012,"[ 0.00000000e+00 -6.15191752e-05  1.25950007e-05  1.62821968e-04
 -1.29661522e-03  1.22065337e-04]"
540.0,"[0.0, -6.151917516297534e-05, 1.259500070566869e-05, 0.00016282196841543555, -0.0012966152195150976, 0.00012206533694076415]","[0.0, 0.0, 0.05]",106.10696127381016,"[ 0.00000000e+00 -6.15191752e-05  1.78531966e-05  1.62329575e-04
  5.33052523e-03 -5.03213308e-05]"
570.0,"[0.0, -6.151917516297534e-05, 1.7853196586805303e-05, 0.00016232957467167148, 0.005330525231673086, -5.032133080157712e-05]","[-0.0, -0.0, -0.05]",153.901531620264,"[ 0.00000000e+00 -6.15191752e-05  2.30927216e-05  1.61667417e-04
 -1.29640474e-03 -8.40700952e-06]"
