time,state,action,reward,next_state
0.0,"[-5.550685990339026e-05, 8.854548930162672e-05, 3.509053504891948e-05, 0.00023548932041089863, 2.298064128947103e-05, -2.607627997624355e-05]","[-0.0, -0.0, -0.01]",113.58238563120176,"[ 0.00000000e+00  8.85454893e-05  4.26866372e-05  2.34231545e-04
 -1.30237764e-03  1.60439583e-05]"
30.0,"[0.0, 8.85454893016267e-05, 4.268663715099273e-05, 0.00023423154502830274, -0.0013023776448975136, 1.604395825892831e-05]","[-0.0, -0.0, -0.01]",106.66749082795468,"[ 0.00000000e+00  8.85454893e-05  5.02380976e-05  2.32728810e-04
 -2.62568096e-03  1.00997090e-04]"
60.0,"[0.0, 8.854548930162667e-05, 5.023809760131334e-05, 0.00023272881047907938, -0.0026256809610663914, 0.0001009970903373911]","[0.0, 0.0, 0.01]",44.35169887643315,"[ 0.00000000e+00  8.85454893e-05  5.77370191e-05  2.30982688e-04
 -1.29653919e-03  1.42994927e-04]"
90.0,"[0.0, 8.854548930162667e-05, 5.7737019088447416e-05, 0.00023098268832184502, -0.001296539190117521, 0.0001429949271354641]","[0.0, 0.0, 0.05]",58.8923552356664,"[ 0.00000000e+00  8.85454893e-05  6.51755592e-05  2.28995005e-04
  5.33127797e-03 -2.94051431e-05]"
120.0,"[0.0, 8.854548930162665e-05, 6.517555924616768e-05, 0.00022899500464978626, 0.0053312779710597774, -2.940514306090363e-05]","[-0.0, -0.0, -0.05]",63.74267061613136,"[ 0.00000000e+00  8.85454893e-05  7.25459389e-05  2.26767838e-04
 -1.29497607e-03  1.24739016e-05]"
150.0,"[0.0, 8.854548930162665e-05, 7.254593885499394e-05, 0.00022676783818093306, -0.0012949760742055386, 1.2473901629808448e-05]","[0.01, 0.0, 0.0]",0.0,"[ 0.00000000e+00 -2.56184661e-03  3.69907774e-05 -1.10019959e-03
 -1.29389559e-03  5.43399011e-05]"
180.0,"[0.0, -0.0025618466072157534, 3.699077737540255e-05, -0.0011001995856789535, -0.0012938955932116389, 5.433990112395034e-05]","[0.0, 0.0, 0.0]",0.0,"[ 0.00000000e+00 -2.56184661e-03  1.39693097e-06 -1.10082037e-03
 -1.29146196e-03  9.61490720e-05]"
210.0,"[0.0, -0.002561846607215754, 1.3969309697578187e-06, -0.0011008203734137751, -0.0012914619572181516, 9.614907199198922e-05]","[0.0, 0.0, 0.0]",0.0,"[ 0.00000000e+00 -2.56184661e-03 -3.41983763e-05 -1.10028992e-03
 -1.28767771e-03  1.37857690e-04]"
240.0,"[0.0, -0.0025618466072157542, -3.419837634520272e-05, -0.001100289924062894, -0.001287677711319696, 0.00013785769023572507]","[0.0, 0.0, 0.0]",0.0,"[ 0.00000000e+00 -2.56184661e-03 -6.97579190e-05 -1.09860879e-03
 -1.28254681e-03  1.79422137e-04]"
270.0,"[0.0, -0.002561846607215754, -6.975791902492371e-05, -0.001098608792369827, -0.0012825468130776736, 0.00017942213701481358]","[0.0, 0.0, 0.0]",0.0,[ 0.         -0.00256185 -0.00010524 -0.00109578 -0.00127607  0.0002208 ]
300.0,"[0.0, -0.0025618466072157534, -0.00010524450892747736, -0.0010957787364607836, -0.001276074628381454, 0.00022079894426331554]","[-0.01, -0.0, -0.0]",107.35435037627394,"[ 0.00000000e+00  8.85454893e-05 -9.77713616e-05  2.32700388e-04
 -1.26826793e-03  2.61944840e-04]"
330.0,"[0.0, 8.854548930162682e-05, -9.777136160260103e-05, 0.00023270038775716973, -0.0012682679258367306, 0.00026194484014856607]","[0.0, 0.0, 0.01]",49.92202633902889,"[ 0.00000000e+00  8.85454893e-05 -9.01959651e-05  2.35740106e-04
  6.53682341e-05  2.59967122e-04]"
360.0,"[0.0, 8.854548930162684e-05, -9.019596506421542e-05, 0.00023574010583288232, 6.536823407626994e-05, 0.00025996712172253136]","[0.0, 0.0, 0.01]",119.14585463284129,"[ 0.00000000e+00  8.85454893e-05 -8.25262417e-05  2.38533287e-04
  1.39824309e-03  2.14867857e-04]"
390.0,"[0.0, 8.854548930162686e-05, -8.25262416560966e-05, 0.00023853328709025766, 0.00139824308744569, 0.00021486785728159474]","[0.0, 0.0, 0.0]",95.59542855359723,"[ 0.00000000e+00  8.85454893e-05 -7.47702124e-05  2.41077010e-04
  1.40445961e-03  1.69543884e-04]"
420.0,"[0.0, 8.854548930162684e-05, -7.477021236898724e-05, 0.00024107701042252097, 0.00140445961102896, 0.0001695438842035342]","[0.0, 0.0, 0.05]",153.07519550595316,"[ 0.00000000e+00  8.85454893e-05 -6.69359885e-05  2.43368616e-04
  8.03172287e-03 -9.02057607e-05]"
450.0,"[0.0, 8.854548930162686e-05, -6.693598845225082e-05, 0.00024336861560580054, 0.00803172287066522, -9.020576074750818e-05]","[-0.0, -0.0, -0.01]",14.550945319401762,"[ 0.00000000e+00  8.85454893e-05 -5.90317629e-05  2.45405706e-04
  6.70010322e-03 -3.07011396e-04]"
480.0,"[0.0, 8.854548930162687e-05, -5.903176293113328e-05, 0.0002454057060811876, 0.006700103215747301, -0.00030701139598220725]","[0.0, 0.0, 0.0]",31.861332130505616,"[ 0.00000000e+00  8.85454893e-05 -5.10658020e-05  2.47186151e-04
  6.68667265e-03 -5.23495959e-04]"
510.0,"[0.0, 8.854548930162689e-05, -5.10658020385037e-05, 0.000247186151461056, 0.006686672646384354, -0.0005234959589390633]","[0.0, 0.0, 0.0]",22.857850414145105,"[ 0.00000000e+00  8.85454893e-05 -4.30464366e-05  2.48708090e-04
  6.66624916e-03 -7.39433050e-04]"
540.0,"[0.0, 8.85454893016269e-05, -4.304643657003441e-05, 0.0002487080897570196, 0.006666249159996627, -0.0007394330502314214]","[-0.0, -0.0, -0.05]",6.928613369151208,"[ 0.00000000e+00  8.85454893e-05 -3.49820532e-05  2.49969929e-04
  1.63385966e-05 -7.40348480e-04]"
570.0,"[0.0, 8.85454893016269e-05, -3.498205317186139e-05, 0.00024996992932719886, 1.6338596634260038e-05, -0.0007403484800066046]","[0.0, 0.0, 0.01]",21.47498570220887,"[ 0.00000000e+00  8.85454893e-05 -2.68810856e-05  2.50970351e-04
  1.31689429e-03 -7.83339327e-04]"
