time,state,action,reward,next_state
0.0,"[8.22713810049833e-05, -1.917396735360408e-05, 5.1358443110589405e-05, 0.00029456070580533933, -7.106518023022751e-05, -7.04307630471573e-05]","[-0.0, -0.0, -0.05]",81.03133609055294,"[ 0.00000000e+00 -1.91739674e-05  6.08560878e-05  2.92746026e-04
 -6.69582089e-03  1.46152292e-04]"
30.0,"[0.0, -1.9173967353604095e-05, 6.0856087833682515e-05, 0.00029274602586006597, -0.00669582088902874, 0.00014615229174060407]","[-0.0, -0.0, -0.05]",47.78771102776045,"[ 0.00000000e+00 -1.91739674e-05  7.02900893e-05  2.90625192e-04
 -1.33101094e-02  5.76830864e-04]"
60.0,"[0.0, -1.917396735360411e-05, 7.029008930770707e-05, 0.00029062519234986816, -0.013310109391099974, 0.0005768308635874112]","[0.0, 0.0, 0.0]",0.0,"[ 0.00000000e+00 -1.91739674e-05  7.96505815e-05  2.88200423e-04
 -1.32844979e-02  1.00690619e-03]"
90.0,"[0.0, -1.9173967353604135e-05, 7.965058146129869e-05, 0.00028820042324077236, -0.01328449794988471, 0.0010069061861681457]","[0.0, 0.0, 0.0]",0.0,"[ 0.00000000e+00 -1.91739674e-05  8.89277751e-05  2.85474254e-04
 -1.32449936e-02  1.43592849e-03]"
120.0,"[0.0, -1.9173967353604135e-05, 8.89277750990828e-05, 0.0002854742543544168, -0.013244993591101597, 0.001435928487046761]","[0.0, 0.0, 0.0]",0.0,"[ 0.00000000e+00 -1.91739674e-05  9.81119681e-05  2.82449537e-04
 -1.31916376e-02  1.86344910e-03]"
150.0,"[0.0, -1.9173967353604163e-05, 9.811196813920757e-05, 0.000282449536716091, -0.013191637628378158, 0.0018634490950364825]","[0.0, 0.0, 0.0]",0.0,"[ 0.00000000e+00 -1.91739674e-05  1.07193556e-04  2.79129434e-04
 -1.31244859e-02  2.28902091e-03]"
180.0,"[0.0, -1.9173967353604217e-05, 0.00010719355575977344, 0.0002791294335731358, -0.013124485861338488, 0.0022890209094197844]","[0.0, 0.0, 0.0]",0.0,"[ 0.00000000e+00 -1.91739674e-05  1.16163040e-04  2.75517417e-04
 -1.30436085e-02  2.71219887e-03]"
210.0,"[0.0, -1.9173967353604244e-05, 0.00011616304044354835, 0.00027551741708682203, -0.013043608517248043, 0.002712198867525972]","[0.0, 0.0, 0.0]",0.0,"[ 0.00000000e+00 -1.91739674e-05  1.25011042e-04  2.71617265e-04
 -1.29490902e-02  3.13254041e-03]"
240.0,"[0.0, -1.9173967353604244e-05, 0.00012501104191046394, 0.0002716172647011665, -0.012949090177570032, 0.0031325404101773713]","[0.0, 0.0, 0.0]",0.0,"[ 0.00000000e+00 -1.91739674e-05  1.33728307e-04  2.67433055e-04
 -1.28410297e-02  3.54960594e-03]"
270.0,"[0.0, -1.917396735360427e-05, 0.00013372830692750504, 0.00026743305519248424, -0.012841029689510177, 0.0035496059445173744]","[0.0, 0.0, 0.0]",0.0,"[ 0.00000000e+00 -1.91739674e-05  1.42305719e-04  2.62969164e-04
 -1.27195401e-02  3.96295930e-03]"
