time,state,action,reward,next_state
0.0,"[-3.335985506944243e-05, 1.5189569061358805e-06, -2.878078714406318e-05, 0.00011754307139262639, 6.731119052823472e-05, 7.205127069847898e-05]","[0.0, 0.0, 0.0]",898.96302773963,"[ 0.00000000e+00  1.51895691e-06 -2.49650305e-05  1.18412223e-04
  6.96057419e-05  6.98371153e-05]"
30.0,"[0.0, 1.5189569061358805e-06, -2.4965030509024966e-05, 0.00011841222315591996, 6.960574192313391e-05, 6.983711528208972e-05]","[0.0, 0.0, 0.0]",328.7672299088463,"[ 0.00000000e+00  1.51895691e-06 -2.11231655e-05  1.19157540e-04
  7.18274997e-05  6.75499243e-05]"
60.0,"[0.0, 1.5189569061358873e-06, -2.112316546460243e-05, 0.00011915753950883244, 7.182749968755983e-05, 6.754992426514929e-05]","[0.0, 0.0, 0.0]",336.1203546059901,"[ 0.00000000e+00  1.51895691e-06 -1.72592098e-05  1.19778241e-04
  7.39741403e-05  6.51920896e-05]"
90.0,"[0.0, 1.518956906135894e-06, -1.7259209830254797e-05, 0.00011977824100010474, 7.397414030897976e-05, 6.51920895902347e-05]","[-0.0, -0.0, -0.01]",439.8683418792589,"[ 0.00000000e+00  1.51895691e-06 -1.33772045e-05  1.20273679e-04
 -1.24845968e-03  1.05615750e-04]"
120.0,"[0.0, 1.518956906135894e-06, -1.3377204527762945e-05, 0.00012027367850060267, -0.00124845968493088, 0.00010561574968129734]","[0.0, 0.0, 0.0]",259.1021288932957,"[ 0.00000000e+00  1.51895691e-06 -9.48120936e-06  1.20643334e-04
 -1.24439182e-03  1.45928957e-04]"
150.0,"[0.0, 1.5189569061358975e-06, -9.481209355236592e-06, 0.00012064333388217565, -0.0012443918237498128, 0.00014592895690393213]","[0.0, 0.01, 0.0]",0.0,"[ 0.00000000e+00  1.51895691e-06  2.64343091e-03  3.51874754e-05
 -1.23902258e-03  1.86089552e-04]"
180.0,"[0.0, 1.5189569061357586e-06, 0.002643430908785, 3.518747535493035e-05, -0.0012390225785725508, 0.00018608955173754951]","[0.0, 0.0, 0.0]",0.0,"[ 0.00000000e+00  1.51895691e-06  2.64318643e-03 -5.03051822e-05
 -1.23235756e-03  2.26055534e-04]"
210.0,"[0.0, 1.5189569061357586e-06, 0.002643186432430545, -5.030518220652542e-05, -0.0012323575645515018, 0.0002260555342634771]","[0.0, 0.0, 0.0]",0.0,"[ 0.00000000e+00  1.51895691e-06  2.64017771e-03 -1.35745231e-04
 -1.22440375e-03  2.65785108e-04]"
240.0,"[0.0, 1.5189569061357586e-06, 0.002640177713771959, -0.00013574523064776697, -0.0012244037519531174, 0.00026578510808844167]","[-0.0, -0.01, -0.0]",67.9004102957615,"[ 0.00000000e+00  1.51895691e-06 -1.45983082e-05 -1.35343972e-04
 -1.21516946e-03  3.05236724e-04]"
270.0,"[0.0, 1.518956906135762e-06, -1.4598308201518505e-05, -0.0001353439716283621, -0.0012151694588683928, 0.0003052367240552045]","[0.01, 0.0, 0.0]",0.0,"[ 0.00000000e+00 -2.64887314e-03 -6.18166394e-05 -1.45930427e-03
 -1.20466434e-03  3.44369124e-04]"
300.0,"[0.0, -0.002648873139611245, -6.181663936060654e-05, -0.0014593042737524545, -0.0012046643425138153, 0.0003443691236946378]","[-0.01, -0.0, -0.0]",54.03861135736952,"[ 0.00000000e+00  1.51895691e-06 -6.61206501e-05 -1.32039285e-04
 -1.19289939e-03  3.83141382e-04]"
330.0,"[0.0, 1.5189569061353249e-06, -6.612065012429812e-05, -0.00013203928458631477, -0.001192899389131854, 0.0003831413823737991]","[-0.05, -0.0, -0.0]",0.0,[ 0.          0.01325348  0.00014389  0.00649268 -0.00117989  0.00042151]
360.0,"[0.0, 0.013253479439493038, 0.00014389285104766646, 0.006492683261717656, -0.0011798869025015555, 0.0004215129520948808]","[0.0, 0.0, 0.0]",0.0,[ 0.          0.01325348  0.00035376  0.00648464 -0.00116564  0.00045944]
390.0,"[0.0, 0.013253479439493038, 0.000353755869188526, 0.0064846355236501865, -0.0011656404910712626, 0.00045944370390027414]","[0.0, 0.0, 0.0]",0.0,[ 0.          0.01325348  0.00056325  0.00646981 -0.00115018  0.00049689]
420.0,"[0.0, 0.013253479439493038, 0.0005632489297180162, 0.006469806158822903, -0.0011501750537269086, 0.0004968939698394017]","[0.0, 0.0, 0.0]",0.0,[ 0.          0.01325348  0.00077215  0.00644821 -0.00113351  0.00053382]
450.0,"[0.0, 0.013253479439493038, 0.0007721529449572538, 0.006448210675773947, -0.0011335067642107746, 0.0005338245844534298]","[0.0, 0.0, 0.0]",0.0,[ 0.          0.01325348  0.00098025  0.00641987 -0.00111565  0.0005702 ]
480.0,"[0.0, 0.013253479439493038, 0.000980249443250459, 0.006419871659042602, -0.0011156530542070027, 0.0005701969257344737]","[0.0, 0.0, 0.0]",0.0,[ 0.          0.01325348  0.00118732  0.00638482 -0.00109663  0.00060597]
510.0,"[0.0, 0.013253479439493036, 0.001187320797442443, 0.006384818745550408, -0.0010966325951115533, 0.0006059729555164641]","[0.0, 0.0, 0.0]",0.0,[ 0.          0.01325348  0.00139315  0.00634309 -0.00107647  0.00064112]
540.0,"[0.0, 0.013253479439493034, 0.0013931504524729162, 0.0063430885936068835, -0.001076465278505675, 0.0006411152592554309]","[0.0, 0.0, 0.0]",0.0,[ 0.          0.01325348  0.00159752  0.00629472 -0.00105517  0.00067559]
570.0,"[0.0, 0.013253479439493033, 0.0015975231518496017, 0.006294724844572299, -0.001055172195353304, 0.0006755870851576042]","[0.0, 0.0, 0.0]",0.0,[ 0.          0.01325348  0.00180023  0.00623978 -0.00103278  0.00070935]
