time,step,state,action,reward,next_state,entropy_before,entropy_after,info_gain,dv_cost,predicted_value,root_N,root_Q_sa,root_N_sa
0.0,0,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[-0.0, -0.05, -0.0]",0.13946476302610109,"[-1.7942463705526653e-06, 3.2524927821933116e-05, 6.679940063426293e-06, -2.6783402287189494e-06, 6.18589574131742e-06, -3.5714285714285705e-06]",5545.177444479563,4771.57058624754,773.6068582320231,0.05,907.721845246192,990,"[831.5132404691947, 814.1404676207802, 795.2238167165461, 633.9073305433541, 748.9106410472103, 788.8648473652466, 747.3659319614472, 759.7307243583145, 907.721845246192, 770.3915608121326, 743.4574631031527, 831.6576514409263, 807.8481141899541]","[165, 11, 11, 11, 11, 11, 11, 11, 660, 11, 11, 44, 22]"
120.0,1,"[-1.7942463705526653e-06, 3.2524927821933116e-05, 6.679940063426293e-06, -2.6783402287189494e-06, 6.18589574131742e-06, -3.5714285714285705e-06]","[0.05, 0.0, 0.0]",9.032692365517963e-05,"[1.995155849754011e-06, 2.1097942670413765e-05, 1.3250999639649938e-05, -1.4430766505828398e-06, 3.571428571428572e-06, -6.185895741317417e-06]",4771.57058624754,4770.819707427858,0.7508788196819296,0.05,1615.1601398829516,990,"[204.60764329726814, 27.54677454993898, 317.70091561963903, 1615.1601398829516, 0.4429945760479784, 185.2775590403069, 151.60092847718576, 238.3332588095254, 177.2797224687752, 359.9173376486756, 239.2697273989502, 195.40983687869195, 46.036454922063605]","[11, 11, 11, 858, 11, 11, 11, 11, 11, 11, 11, 11, 11]"
240.0,2,"[1.995155849754011e-06, 2.1097942670413765e-05, 1.3250999639649938e-05, -1.4430766505828398e-06, 3.571428571428572e-06, -6.185895741317417e-06]","[0.05, 0.0, 0.0]",-2.4467448233615966e-05,"[6.119585334577593e-06, 9.154694576124949e-06, 1.89121725358564e-05, -1.1203683563375495e-06, 9.912705577010327e-22, -7.142857142857141e-06]",4770.819707427858,4770.705383769927,0.11432365793098143,0.05,2019.7740133094242,990,"[224.31998852695534, 180.61969338549372, 332.39631586255615, 2019.7740133094242, 94.76013094882923, 1381.1149396037076, 65.86417832470646, 149.1364348411141, 736.6469800836629, 1048.9026697587776, 309.96547611094496, 1272.2380793857772, 1300.045384106197]","[11, 11, 11, 803, 11, 33, 11, 11, 11, 22, 11, 22, 22]"
360.0,3,"[6.119585334577593e-06, 9.154694576124949e-06, 1.89121725358564e-05, -1.1203683563375495e-06, 9.912705577010327e-22, -7.142857142857141e-06]","[0.05, 0.0, 0.0]",-4.467115591485635e-05,"[7.735162333896786e-06, 4.372149723200158e-06, 2.421215331865713e-05, -4.880553252878923e-06, -3.5714285714285697e-06, -6.185895741317417e-06]",4770.705383769927,4770.703093256125,0.0022905138021087623,0.05,2359.8615499182047,990,"[2235.170714277927, 1042.2062753704156, 2120.1573997252594, 2359.8615499182047, 1572.7161826338809, 1851.558176716171, 1976.250095553472, 2262.0017238673677, 2115.055068043592, 1858.493732695519, 822.6762171277176, 2214.2394983731724, 2120.000934565964]","[44, 11, 11, 726, 11, 11, 11, 33, 44, 11, 11, 22, 44]"
480.0,4,"[7.735162333896786e-06, 4.372149723200158e-06, 2.421215331865713e-05, -4.880553252878923e-06, -3.5714285714285697e-06, -6.185895741317417e-06]","[-0.0, -0.0, -0.05]",-4.5084220027780105e-05,"[4.942879766184154e-06, 2.8517373085622853e-05, 2.2290308828748282e-05, -1.0639093039323083e-05, -1.1944445984671776e-05, -6.849036426675238e-06]",4770.703093256125,4770.703093256125,0.0,0.05,2852.550707202652,990,"[2145.4861501252594, 2464.400739434766, 2593.3412891986313, 2212.958954421622, 693.9753687845576, 2328.3762507796478, 2066.848385620647, 2432.039961705073, 2212.8973234095724, 1943.9386359452403, 2585.10351218275, 2463.965638231, 2852.550707202652]","[11, 11, 11, 11, 11, 11, 11, 22, 11, 11, 154, 22, 693]"
600.0,5,"[4.942879766184154e-06, 2.8517373085622853e-05, 2.2290308828748282e-05, -1.0639093039323083e-05, -1.1944445984671776e-05, -6.849036426675238e-06]","[0.05, 0.0, 0.0]",0.024687286961492964,"[-5.137773607753566e-06, 8.523032317855168e-05, 1.844798480047509e-05, -2.5310186840624688e-05, -1.376871187019441e-05, 4.078345539013591e-08]",4770.703093256125,4633.5577064318595,137.1453868242652,0.05,2398.0173753577083,990,"[1646.5241965122552, 2008.5669716708812, 1565.4927812825374, 2398.0173753577083, 1317.3007927618312, 2008.8645213825134, 1661.775420104041, 1290.2851218831768, 612.5717279167203, 1122.1329133035345, 1774.3422231505244, 1919.8997474683883, 1948.053412134664]","[11, 11, 11, 682, 11, 77, 11, 11, 11, 11, 22, 55, 66]"
720.0,6,"[-5.137773607753566e-06, 8.523032317855168e-05, 1.844798480047509e-05, -2.5310186840624688e-05, -1.376871187019441e-05, 4.078345539013591e-08]","[0.05, 0.0, 0.0]",-4.5084220027780105e-05,"[-2.330655535736964e-05, 0.00018858382831937848, -8.012837322508967e-07, -3.67360947911222e-05, -1.1903662529281641e-05, 6.919675443519172e-06]",4633.5577064318595,4633.5577064318595,0.0,0.05,884.7403851799453,990,"[190.5193497652795, 291.5571477288763, 451.5265874510942, 884.7403851799453, 297.9510193040258, 628.2699781150851, 140.74938604224528, 541.0278156182593, 212.8525353608384, 559.666473709277, 625.3561920843813, 477.40989016886135, 411.7349537895625]","[11, 11, 22, 792, 11, 11, 11, 11, 11, 44, 11, 33, 11]"
840.0,7,"[-2.330655535736964e-05, 0.00018858382831937848, -8.012837322508967e-07, -3.67360947911222e-05, -1.1903662529281641e-05, 6.919675443519172e-06]","[0.05, 0.0, 0.0]",-4.5084220027780105e-05,"[-3.759792929241383e-05, 0.0002642794747467161, -2.9149983198607763e-05, -2.45477337855193e-05, -6.849036426675239e-06, 1.1944445984671775e-05]",4633.5577064318595,4633.5577064318595,0.0,0.05,3.463767373337064,990,"[-1.0814935871503046, -1.1370997645752252, -1.1428651007346515, 3.463767373337064, -1.243710707950907, -1.2709477305420154, -1.152932960776447, -1.3293942314880594, -1.5994767399049776, -1.2691953803201594, -1.30482737900098, -1.3411171741091414, -1.4583817471613123]","[88, 88, 88, 143, 77, 66, 77, 66, 44, 66, 66, 66, 55]"
960.0,8,"[-3.759792929241383e-05, 0.0002642794747467161, -2.9149983198607763e-05, -2.45477337855193e-05, -6.849036426675239e-06, 1.1944445984671775e-05]","[-0.0, -0.05, -0.0]",0.00395470934490966,"[-3.4116758267636137e-05, 0.00021059390045274781, -4.459382328996896e-05, 1.7302905851832785e-05, 4.078345539013293e-08, 1.376871187019441e-05]",4633.5577064318595,4611.378141372994,22.17956505886559,0.05,33.25660658953164,990,"[17.1710273510561, 16.057926936097576, 15.936787249348225, 17.017698506814387, 15.67732975930542, 15.680372071614128, 20.91218025514021, 13.429455767377787, 33.25660658953164, 12.48684682336105, 16.835279509994027, 15.30965329149322, 17.11463239411938]","[11, 11, 11, 11, 11, 11, 22, 11, 847, 11, 11, 11, 11]"
1080.0,9,"[-3.4116758267636137e-05, 0.00021059390045274781, -4.459382328996896e-05, 1.7302905851832785e-05, 4.078345539013293e-08, 1.376871187019441e-05]","[-0.05, -0.0, -0.0]",0.03705867818083611,"[2.8512579239948555e-05, 3.17183124462137e-05, 1.4946596551089677e-05, 5.165884459006504e-05, 6.919675443519171e-06, 1.1903662529281641e-05]",4611.378141372994,4405.631195002395,205.7469463705993,0.05,389.2395531604647,990,"[276.24708649474456, 348.5619954135164, 302.45287426441195, 270.95716092572644, 389.2395531604647, 338.6236565702473, 198.20269045984105, 274.1569978939861, 277.6094621747166, 304.4095812106898, 163.39138255462896, 268.2799500045807, 236.52994027072873]","[11, 22, 11, 11, 847, 11, 11, 11, 11, 11, 11, 11, 11]"
