time,state,action,reward,next_state
0.0,"[-2.1657267536807445e-06, -6.77377067391551e-05, -4.105520419312379e-05, 0.0001627304126721331, 9.698534209443117e-05, -2.7176069854203624e-05]","[0.0, 0.0, 0.0]",349.05806315930204,"[ 0.00000000e+00 -6.77377067e-05 -3.57719151e-05  1.63972824e-04
  9.60559014e-05 -3.02978409e-05]"
30.0,"[0.0, -6.77377067391551e-05, -3.5771915058362274e-05, 0.00016397282425096893, 9.605590138531001e-05, -3.0297840895846002e-05]","[-0.0, -0.0, -0.01]",351.1677993792764,"[ 0.00000000e+00 -6.77377067e-05 -3.04512157e-05  1.65043753e-04
 -1.22947710e-03  9.46174612e-06]"
60.0,"[0.0, -6.77377067391551e-05, -3.0451215682805448e-05, 0.00016504375317842569, -0.0012294770982735573, 9.461746123120512e-06]","[-0.0, -0.0, -0.01]",300.6749495224831,"[ 0.00000000e+00 -6.77377067e-05 -2.50986704e-05  1.65942079e-04
 -2.55303137e-03  9.20611107e-05]"
90.0,"[0.0, -6.773770673915508e-05, -2.5098670449699626e-05, 0.00016594207947786846, -0.0025530313672489703, 9.206111065768248e-05]","[0.0, 0.0, 0.0]",241.05915206286318,"[ 0.00000000e+00 -6.77377067e-05 -1.97198770e-05  1.66666864e-04
 -2.54871963e-03  1.74564198e-04]"
120.0,"[0.0, -6.773770673915506e-05, -1.9719877046664032e-05, 0.00016666686368035577, -0.0025487196297582296, 0.00017456419775470808]","[0.0, 0.0, 0.05]",340.16776036218516,"[ 0.00000000e+00 -6.77377067e-05 -1.43204606e-05  1.67217348e-04
  4.08077308e-03  4.26363627e-05]"
150.0,"[0.0, -6.773770673915506e-05, -1.4320460611633474e-05, 0.00016721734780713544, 0.004080773075544231, 4.263636273876579e-05]","[-0.0, -0.0, -0.01]",282.69485229965585,"[ 0.00000000e+00 -6.77377067e-05 -8.90606785e-06  1.67592956e-04
  2.75551477e-03 -4.64863887e-05]"
180.0,"[0.0, -6.773770673915506e-05, -8.906067850093505e-06, 0.0001675929561623381, 0.0027555147664987067, -4.6486388749696003e-05]","[-0.0, -0.0, -0.01]",183.62168501083215,"[ 0.00000000e+00 -6.77377067e-05 -3.48236113e-06  1.67793296e-04
  1.42806769e-03 -9.27108522e-05]"
210.0,"[0.0, -6.773770673915506e-05, -3.4823611297602284e-06, 0.00016779329593503961, 0.0014280676867606203, -9.271085220686241e-05]","[-0.0, -0.0, -0.05]",216.9224720991524,"[ 0.00000000e+00 -6.77377067e-05  1.94498744e-06  1.67818158e-04
 -5.19819234e-03  7.54100043e-05]"
240.0,"[0.0, -6.773770673915505e-05, 1.944987441119434e-06, 0.00016781815761006237, -0.00519819233560483, 7.541000428417243e-05]","[0.0, 0.0, 0.05]",288.9463256597778,"[ 0.00000000e+00 -6.77377067e-05  7.37030195e-06  1.67667515e-04
  1.42947967e-03  2.92036340e-05]"
270.0,"[0.0, -6.773770673915506e-05, 7.370301945654105e-06, 0.00016766751518708606, 0.0014294796676188437, 2.9203634040234786e-05]","[0.0, 0.0, 0.0]",256.4335735261543,"[ 0.00000000e+00 -6.77377067e-05  1.27879086e-05  1.67341526e-04
  1.42967648e-03 -1.70332773e-05]"
300.0,"[0.0, -6.773770673915506e-05, 1.27879085941774e-05, 0.00016734152620783883, 0.001429676480830488, -1.7033277341345644e-05]","[-0.0, -0.0, -0.05]",172.54047704969707,"[ 0.00000000e+00 -6.77377067e-05  1.81921417e-05  1.66840532e-04
 -5.19413738e-03  1.50995988e-04]"
330.0,"[0.0, -6.773770673915506e-05, 1.8192141657892723e-05, 0.00016684053159134028, -0.005194137379319503, 0.00015099598767665873]","[0.0, 0.0, 0.05]",213.4504485157554,"[ 0.00000000e+00 -6.77377067e-05  2.35773494e-05  1.66165055e-04
  1.43597655e-03  1.04618978e-04]"
360.0,"[0.0, -6.773770673915508e-05, 2.357734939408802e-05, 0.00016616505527736856, 0.0014359765454495192, 0.00010461897819736509]","[0.0, 0.0, 0.01]",209.99900417503613,"[ 0.00000000e+00 -6.77377067e-05  2.89379000e-05  1.65315804e-04
  2.76311159e-03  1.52828857e-05]"
390.0,"[0.0, -6.773770673915509e-05, 2.8937899956723867e-05, 0.0001653158036785246, 0.002763111589539947, 1.528288567018985e-05]","[-0.0, -0.0, -0.01]",160.82957328124303,"[ 0.00000000e+00 -6.77377067e-05  3.42681873e-05  1.64293665e-04
  1.43765782e-03 -3.12195171e-05]"
420.0,"[0.0, -6.773770673915509e-05, 3.426818728621367e-05, 0.00016429366494146642, 0.0014376578216688369, -3.121951708457628e-05]","[0.0, 0.0, 0.0]",94.98002244853592,"[ 0.00000000e+00 -6.77377067e-05  3.95626370e-05  1.63099708e-04
  1.43589660e-03 -7.76892705e-05]"
450.0,"[0.0, -6.77377067391551e-05, 3.956263697223641e-05, 0.00016309970801808594, 0.001435896600630727, -7.768927049278822e-05]","[-0.0, -0.0, -0.05]",127.56251197168285,"[ 0.00000000e+00 -6.77377067e-05  4.48157121e-05  1.61735182e-04
 -5.18988180e-03  9.01705865e-05]"
