step,entropy
0,5545.177444479563
1,5196.119381320261
2,4844.951581940984
3,4544.276632418501
4,4303.217480355638
5,3963.049719993453
6,3680.354867693797
7,3496.733182682965
8,3279.8107105838126
9,2990.8643849240348
10,2734.4308113978805
11,2561.8903343481834
12,2348.439885832428
13,2138.440881657392
14,1977.6113083761488
15,1882.631285927613
16,1755.06877395593
17,1648.9572386236068
18,1556.740084520612
19,1480.4395927061785
20,1413.8585943055389
