step,entropy
0,5545.177444479563
1,5318.705248739301
2,5138.6178933528745
3,5020.128603918014
4,4930.738346080748
5,4842.070387837343
6,4767.929937630144
7,4697.966090684648
8,4632.844556920663
9,4573.259625769729
10,4495.680878115281
11,4448.576596887144
12,4419.460987646695
13,4320.388963130916
14,4291.9807913233835
15,4280.193288523682
16,4244.1696436914635
17,4212.304881776525
18,4174.201795789446
19,4135.394702261101
20,4098.677910591695
