time,step,action,reward,entropy,state,next_state
3480.0,30,"[0.01, 0.0, 0.0]",-0.00970121138242954,206.02297973632812,"[1.32519604825869e-05, -1.8129281912054534e-05, 1.6938616310272652e-05, -1.2591426638976767e-05, 1.5178575046701794e-05, 1.4570209679226655e-06]","[1.32519604825869e-05, -2.3351059984413223e-05, 1.573813663756459e-05, -1.2030184158639447e-05, 1.5178575046701794e-05, 1.4570209679226655e-06]"
3600.0,31,"[-0.0, -0.05, -0.0]",-0.048805351995696966,203.25157165527344,"[1.32519604825869e-05, -2.3351059984413223e-05, 1.573813663756459e-05, -1.2030184158639447e-05, 1.5178575046701794e-05, 1.4570209679226655e-06]","[0.0, -2.3364452202384325e-05, 1.9755043193581334e-05, 5.983121236688518e-07, 1.5178575046701794e-05, 1.4570209679226655e-06]"
3720.0,32,"[0.0, 0.0, 0.01]",-0.009701217959909785,202.55844116210938,"[0.0, -2.3364452202384325e-05, 1.9755043193581334e-05, 5.983121236688518e-07, 1.5178575046701794e-05, 1.4570209679226655e-06]","[0.0, -2.3364452202384325e-05, 1.9755043193581334e-05, 5.983121236688518e-07, 1.494314883733783e-05, 1.5290476671014922e-07]"
3840.0,33,"[0.01, 0.0, 0.0]",-0.00880558878498575,199.78758239746094,"[0.0, -2.3364452202384325e-05, 1.9755043193581334e-05, 5.983121236688518e-07, 1.494314883733783e-05, 1.5290476671014922e-07]","[0.0, -2.6014844298901705e-05, 1.843145340444012e-05, 6.635396976047667e-07, 1.494314883733783e-05, 1.5290476671014922e-07]"
3960.0,34,"[0.05, 0.0, 0.0]",-0.04999951984394218,199.78646850585938,"[0.0, -2.6014844298901705e-05, 1.843145340444012e-05, 6.635396976047667e-07, 1.494314883733783e-05, 1.5290476671014922e-07]","[0.0, -3.92668047814886e-05, 1.1826728552470041e-05, 1.3323432540867048e-07, 1.494314883733783e-05, 1.5290476671014922e-07]"
4080.0,35,"[-0.01, -0.0, -0.0]",-0.009103890669018143,197.70762634277344,"[0.0, -3.92668047814886e-05, 1.1826728552470041e-05, 1.3323432540867048e-07, 1.494314883733783e-05, 1.5290476671014922e-07]","[0.0, -3.661641268497122e-05, 1.3122954494802648e-05, 4.088116698047442e-07, 1.494314883733783e-05, 1.5290476671014922e-07]"
4200.0,36,"[-0.01, -0.0, -0.0]",-0.009700981170620996,197.01394653320312,"[0.0, -3.661641268497122e-05, 1.3122954494802648e-05, 4.088116698047442e-07, 1.494314883733783e-05, 1.5290476671014922e-07]","[0.0, -3.396602058845384e-05, 1.437280027752722e-05, 8.493001324528007e-07, 1.494314883733783e-05, 1.5290476671014922e-07]"
4320.0,37,"[-0.01, -0.0, -0.0]",-0.01,197.01394653320312,"[0.0, -3.396602058845384e-05, 1.437280027752722e-05, 8.493001324528007e-07, 1.494314883733783e-05, 1.5290476671014922e-07]","[0.0, -3.131562849193646e-05, 1.5555379824359965e-05, 1.4473387446956153e-06, 1.494314883733783e-05, 1.5290476671014922e-07]"
4440.0,38,"[-0.05, -0.0, -0.0]",-0.04970049443708293,196.3191375732422,"[0.0, -3.131562849193646e-05, 1.5555379824359965e-05, 1.4473387446956153e-06, 1.494314883733783e-05, 1.5290476671014922e-07]","[0.0, -1.806366800934956e-05, 2.103313640199296e-05, 5.175313668727384e-06, 1.494314883733783e-05, 1.5290476671014922e-07]"
4560.0,39,"[-0.01, -0.0, -0.0]",-0.009402672709108358,194.9334259033203,"[0.0, -1.806366800934956e-05, 2.103313640199296e-05, 5.175313668727384e-06, 1.494314883733783e-05, 1.5290476671014922e-07]","[0.0, -1.541327591283218e-05, 2.2023351812846687e-05, 6.056005445927688e-06, 1.494314883733783e-05, 1.5290476671014922e-07]"
4680.0,40,"[0.0, 0.05, 0.0]",-0.0491029303569025,192.85235595703125,"[0.0, -1.541327591283218e-05, 2.2023351812846687e-05, 6.056005445927688e-06, 1.494314883733783e-05, 1.5290476671014922e-07]","[1.32519604825869e-05, -1.7965873888421647e-05, 3.203406578652267e-05, -2.627315483837214e-06, 1.494314883733783e-05, 1.5290476671014922e-07]"
4800.0,41,"[0.0, 0.0, 0.0]",0.0029859063541511108,185.9254913330078,"[1.32519604825869e-05, -1.7965873888421647e-05, 3.203406578652267e-05, -2.627315483837214e-06, 1.494314883733783e-05, 1.5290476671014922e-07]","[1.32519604825869e-05, -2.0537259864262955e-05, 3.203406578652267e-05, -2.627315483837214e-06, 1.494314883733783e-05, 1.5290476671014922e-07]"
4920.0,42,"[-0.0, -0.0, -0.01]",-0.01029613789303207,186.61248779296875,"[1.32519604825869e-05, -2.0537259864262955e-05, 3.203406578652267e-05, -2.627315483837214e-06, 1.494314883733783e-05, 1.5290476671014922e-07]","[1.32519604825869e-05, -2.3108645840104263e-05, 3.203406578652267e-05, -2.627315483837214e-06, 1.3753236780302005e-05, 7.36217601166259e-07]"
5040.0,43,"[-0.05, -0.0, -0.0]",-0.04790853229684874,181.76058959960938,"[1.32519604825869e-05, -2.3108645840104263e-05, 3.203406578652267e-05, -2.627315483837214e-06, 1.3753236780302005e-05, 7.36217601166259e-07]","[1.32519604825869e-05, -1.2428071333358669e-05, 3.415876492959805e-05, 3.648771490498464e-06, 1.3753236780302005e-05, 7.36217601166259e-07]"
5160.0,44,"[-0.0, -0.01, -0.0]",-0.00940051529558828,180.369873046875,"[1.32519604825869e-05, -1.2428071333358669e-05, 3.415876492959805e-05, 3.648771490498464e-06, 1.3753236780302005e-05, 7.36217601166259e-07]","[1.0601568386069519e-05, -1.4487810361290224e-05, 3.1559671145959514e-05, 4.167702862775471e-06, 1.3753236780302005e-05, 7.36217601166259e-07]"
5280.0,45,"[0.0, 0.0, 0.01]",-0.010297578361205538,181.06021118164062,"[1.0601568386069519e-05, -1.4487810361290224e-05, 3.1559671145959514e-05, 4.167702862775471e-06, 1.3753236780302005e-05, 7.36217601166259e-07]","[1.0601568386069519e-05, -1.654492595725723e-05, 3.1559671145959514e-05, 4.167702862775471e-06, 1.5075396541396562e-05, 6.465619685332081e-07]"
5400.0,46,"[-0.0, -0.0, -0.01]",-0.008804871839639138,178.28768920898438,"[1.0601568386069519e-05, -1.654492595725723e-05, 3.1559671145959514e-05, 4.167702862775471e-06, 1.5075396541396562e-05, 6.465619685332081e-07]","[1.0601568386069519e-05, -1.8602041553224236e-05, 3.1559671145959514e-05, 4.167702862775471e-06, 1.3752718420614443e-05, 5.649093193126948e-07]"
5520.0,47,"[-0.0, -0.0, -0.01]",-0.007312152163112249,172.05227661132812,"[1.0601568386069519e-05, -1.8602041553224236e-05, 3.1559671145959514e-05, 4.167702862775471e-06, 1.3752718420614443e-05, 5.649093193126948e-07]","[1.0601568386069519e-05, -2.0659157149191243e-05, 3.1559671145959514e-05, 4.167702862775471e-06, 1.2451625112001164e-05, 3.1331287934941237e-07]"
5640.0,48,"[-0.05, -0.0, -0.0]",-0.046116537269213324,163.043212890625,"[1.0601568386069519e-05, -2.0659157149191243e-05, 3.1559671145959514e-05, 4.167702862775471e-06, 1.2451625112001164e-05, 3.1331287934941237e-07]","[1.0601568386069519e-05, -9.46431226257135e-06, 2.9472992035750274e-05, 1.0456532996355769e-05, 1.2451625112001164e-05, 3.1331287934941237e-07]"
5760.0,49,"[0.01, 0.0, 0.0]",-0.00820442682311177,158.87774658203125,"[1.0601568386069519e-05, -9.46431226257135e-06, 2.9472992035750274e-05, 1.0456532996355769e-05, 1.2451625112001164e-05, 3.1331287934941237e-07]","[1.0601568386069519e-05, -1.4171819955055737e-05, 3.004909317320134e-05, 9.263112682405969e-06, 1.2451625112001164e-05, 3.1331287934941237e-07]"
5880.0,50,"[-0.0, -0.01, -0.0]",-0.007908525719368491,154.0258331298828,"[1.0601568386069519e-05, -1.4171819955055737e-05, 3.004909317320134e-05, 9.263112682405969e-06, 1.2451625112001164e-05, 3.1331287934941237e-07]","[7.951176289552138e-06, -1.571444123377305e-05, 2.783083028010587e-05, 7.812634139856126e-06, 1.2451625112001164e-05, 3.1331287934941237e-07]"
