time,step,state,action,reward,next_state,entropy_before,entropy_after,info_gain,dv_cost,predicted_value,root_N,root_Q_sa,root_N_sa
0.0,0,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.05, 0.0, 0.0]",0.07868415092532288,"[1.0492233618263624e-05, 1.0965785954687875e-05, 1.6475842521787695e-05, 8.437340848764571e-06, 6.18589574131742e-06, -3.5714285714285705e-06]",5545.177444479563,5108.854865530437,436.3225789491262,0.05,2041.3608225829994,495,"[929.5711080497696, 1602.1935489587677, 808.4863217179699, 2041.3608225829994, 1193.072224465237, 1756.7880149960743, 861.7850361018166, 1659.2005660882749, 1483.5232205534342, 1300.9258627794604, 1624.4726901112863, 1738.114854714896, 1317.9615746363595]","[11, 33, 11, 198, 11, 55, 11, 11, 22, 11, 33, 66, 22]"
120.0,1,"[1.0492233618263624e-05, 1.0965785954687875e-05, 1.6475842521787695e-05, 8.437340848764571e-06, 6.18589574131742e-06, -3.5714285714285705e-06]","[-0.0, -0.05, -0.0]",0.5522304902636849,"[4.49245630895678e-06, 8.085823280198137e-06, 4.939224370966074e-06, 3.339940439605797e-06, 3.571428571428572e-06, -6.185895741317417e-06]",5108.854865530437,2046.6338067663603,3062.2210587640766,0.05,3764.099632782185,495,"[2936.4974407048053, 1320.7785951514254, 1472.7958811595165, 3093.749312604767, 831.6643398447633, 2157.352824712961, 1326.395050344566, 2882.9425876049427, 3764.099632782185, 2874.611445826216, 1722.50464020343, 2330.4850257182484, 2909.0695710347495]","[11, 11, 11, 11, 11, 11, 11, 11, 363, 11, 11, 11, 11]"
240.0,2,"[4.49245630895678e-06, 8.085823280198137e-06, 4.939224370966074e-06, 3.339940439605797e-06, 3.571428571428572e-06, -6.185895741317417e-06]","[-0.0, -0.05, -0.0]",0.07100284055928406,"[-7.4760290565490514e-06, 2.0351008227419128e-05, -2.6904860483110027e-06, -6.976725594135708e-06, 9.912705577010327e-22, -7.142857142857141e-06]",2046.6338067663603,1652.9054568030397,393.7283499633206,0.05,1219.9312196527826,495,"[797.4958806838597, 961.3865853731324, 752.3119616162102, 1140.5312122976268, 938.6060149756887, 1135.4872993375286, 1056.885496258404, 1031.3911100611638, 1219.9312196527826, 840.1666276748117, 1172.36683186988, 1113.310167075377, 1172.2969597933027]","[11, 22, 11, 33, 11, 11, 11, 11, 297, 11, 22, 11, 33]"
360.0,3,"[-7.4760290565490514e-06, 2.0351008227419128e-05, -2.6904860483110027e-06, -6.976725594135708e-06, 9.912705577010327e-22, -7.142857142857141e-06]","[0.05, 0.0, 0.0]",-9.016844005556022e-07,"[-8.23474930069627e-06, 3.031950022455951e-05, 2.6832229286176147e-06, -1.1002394010497966e-05, -3.5714285714285697e-06, -6.185895741317417e-06]",1652.9054568030397,1652.9054568030397,0.0,0.05,844.0425845394055,495,"[454.39685732709006, 725.8985806876244, 378.36378529632236, 844.0425845394055, 41.37626559360897, 423.90362761764607, 467.29258614866217, 641.2653986533568, 578.7043107243409, 704.9868797686756, 243.69664071894465, 553.1668011757066, 511.309705460012]","[11, 11, 11, 330, 11, 11, 11, 11, 22, 33, 11, 11, 11]"
480.0,4,"[-8.23474930069627e-06, 3.031950022455951e-05, 2.6832229286176147e-06, -1.1002394010497966e-05, -3.5714285714285697e-06, -6.185895741317417e-06]","[0.05, 0.0, 0.0]",-9.016844005556022e-07,"[-9.941078311951618e-06, 5.715332426872267e-05, 4.6467417253288135e-06, -1.5966380720038733e-05, -6.185895741317417e-06, -3.5714285714285718e-06]",1652.9054568030397,1652.9054568030397,0.0,0.05,703.473524164242,495,"[50.796773793072425, 257.3102165359355, 434.5003701893674, 703.473524164242, 86.21748097082423, 593.2109125168109, 217.67638429522202, 528.7699768074245, 360.0019233349272, 57.56249798280612, 500.77585160128643, 611.0026106704235, 259.3359719325936]","[11, 11, 11, 308, 11, 22, 11, 44, 11, 11, 22, 11, 11]"
600.0,5,"[-9.941078311951618e-06, 5.715332426872267e-05, 4.6467417253288135e-06, -1.5966380720038733e-05, -6.185895741317417e-06, -3.5714285714285718e-06]","[0.0, 0.05, 0.0]",0.005131313948091302,"[-9.98241860195406e-07, 7.903119620811528e-05, 6.765874321001583e-06, -8.040951073132283e-06, -7.142857142857141e-06, -1.9825411154020654e-21]",1652.9054568030397,1624.4464104375404,28.459046365499262,0.05,462.04125001426183,495,"[39.19836212523909, 90.25359837148689, 123.12084178863346, 352.1228961485804, 61.540923025975296, 47.762834658039715, 132.7590271524202, 462.04125001426183, 145.73799320973583, 200.07599010055227, 246.01106710085057, 75.77255373168005, 260.60979099868945]","[11, 11, 11, 88, 11, 11, 11, 275, 11, 11, 22, 11, 11]"
720.0,6,"[-9.98241860195406e-07, 7.903119620811528e-05, 6.765874321001583e-06, -8.040951073132283e-06, -7.142857142857141e-06, -1.9825411154020654e-21]","[0.0, 0.05, 0.0]",0.001000953859911537,"[6.136168176053145e-06, 8.834719448733443e-05, 1.0718230398349374e-05, -3.7202455686508628e-06, -6.185895741317419e-06, 3.571428571428568e-06]",1624.4464104375404,1618.8909436705942,5.5554667669462106,0.05,330.15795633778447,495,"[57.80124863149866, 103.24517104873485, 185.49939248883894, 64.38568142645805, 27.129966989057642, 35.55997243551337, 225.23568377285298, 330.15795633778447, 100.48026326091939, 43.60629128758223, 54.71341040071748, 133.1132949707995, 101.44988407622473]","[11, 11, 11, 11, 11, 11, 22, 352, 11, 11, 11, 11, 11]"
840.0,7,"[6.136168176053145e-06, 8.834719448733443e-05, 1.0718230398349374e-05, -3.7202455686508628e-06, -6.185895741317419e-06, 3.571428571428568e-06]","[0.05, 0.0, 0.0]",-9.016844005556022e-07,"[-4.44277724884706e-06, 0.00013296386141358393, 5.031128716482299e-06, -1.7172295226752232e-05, -3.571428571428573e-06, 6.185895741317416e-06]",1618.8909436705942,1618.8909436705942,0.0,0.05,331.8103450193795,495,"[120.25509164461673, 70.01026705423634, 63.189642774542975, 331.8103450193795, 0.8878123426506762, 149.14920927891282, 56.667265816686616, 215.53164205585065, 34.40125924828499, 226.4678694905444, 250.0160958954266, 185.97144708778072, 106.81302624206104]","[11, 11, 11, 341, 11, 22, 11, 11, 11, 22, 11, 11, 11]"
960.0,8,"[-4.44277724884706e-06, 0.00013296386141358393, 5.031128716482299e-06, -1.7172295226752232e-05, -3.571428571428573e-06, 6.185895741317416e-06]","[0.0, 0.01, 0.0]",-1.8033688011112042e-07,"[-1.5014098205888343e-05, 0.00016636905289477697, -1.2472249200203193e-05, -8.998673032840045e-06, -3.469446951953614e-21, 7.142857142857142e-06]",1618.8909436705942,1618.8909436705942,0.0,0.01,16.220752006734166,495,"[3.3894846764740008, 11.957747806804074, 0.8300866429208973, 8.179851110462652, 6.495256624822333, 16.220752006734166, 2.133507519256615, 11.113147402486192, 0.7712513250132638, 11.257188926140723, 10.474774214894309, 1.2524338960175412, 0.33281448476186787]","[11, 33, 11, 11, 11, 264, 11, 11, 11, 55, 44, 11, 11]"
1080.0,9,"[-1.5014098205888343e-05, 0.00016636905289477697, -1.2472249200203193e-05, -8.998673032840045e-06, -3.469446951953614e-21, 7.142857142857142e-06]","[-0.0, -0.05, -0.0]",-9.016844005556022e-07,"[-1.8825793295377898e-05, 0.00013248506064737143, -2.2485621346765606e-05, 1.0237586334282196e-05, 3.571428571428569e-06, 6.1858957413174206e-06]",1618.8909436705942,1618.8909436705942,0.0,0.05,25.214875010430703,495,"[12.314963124723267, 22.670655569505005, 20.292302282069333, 22.808418860612342, 10.795395429726879, 0.6158206400313625, 2.347375386733816, 1.6504496098987986, 25.214875010430703, 1.6668976213880387, 10.36801452662541, 20.693048361658303, 20.2818386021205]","[11, 22, 11, 55, 11, 11, 11, 11, 264, 11, 11, 22, 44]"
