time,state,action,reward,next_state
0.0,"[-1.0324242429218727e-05, -6.99517968206227e-05, 4.288191822172668e-05, 0.00018315890997355253, 8.59435475499229e-05, 5.6118003791083665e-05]","[-0.0, -0.0, -0.01]",382.3016882220927,"[ 0.00000000e+00 -6.99517968e-05  4.87818638e-05  1.81676567e-04
 -1.23678994e-03  9.61593828e-05]"
30.0,"[0.0, -6.99517968206227e-05, 4.878186377894808e-05, 0.00018167656695162128, -0.0012367899433439677, 9.615938282691879e-05]","[-0.0, -0.0, -0.01]",268.7313062109715,"[ 0.00000000e+00 -6.99517968e-05  5.46307933e-05  1.80004227e-04
 -2.55753706e-03  1.78949871e-04]"
60.0,"[0.0, -6.995179682062272e-05, 5.463079330117564e-05, 0.00018000422671803846, -0.0025575370557867475, 0.00017894987105767987]","[0.0, 0.0, 0.05]",372.6582182358279,"[ 0.00000000e+00 -6.99517968e-05  6.04225900e-05  1.78143638e-04
  4.07210207e-03  4.73048506e-05]"
90.0,"[0.0, -6.995179682062273e-05, 6.0422589982488725e-05, 0.00017814363820491268, 0.004072102069098128, 4.7304850641762236e-05]","[-0.0, -0.0, -0.01]",268.8210482044078,"[ 0.00000000e+00 -6.99517968e-05  6.61511968e-05  1.76096747e-04
  2.74699925e-03 -4.15399685e-05]"
120.0,"[0.0, -6.995179682062276e-05, 6.615119676644706e-05, 0.000176096747214256, 0.002746999247766779, -4.153996854767319e-05]","[-0.0, -0.0, -0.05]",194.02632213364586,"[ 0.00000000e+00 -6.99517968e-05  7.18106227e-05  1.73865694e-04
 -3.87829585e-03  8.39070177e-05]"
150.0,"[0.0, -6.995179682062276e-05, 7.181062268055559e-05, 0.00017386569438306582, -0.003878295853787063, 8.390701774097614e-05]","[0.0, 0.0, 0.01]",196.73717686502505,"[ 0.00000000e+00 -6.99517968e-05  7.73949491e-05  1.71452813e-04
 -2.54905169e-03  1.66416582e-04]"
180.0,"[0.0, -6.995179682062276e-05, 7.739494910161887e-05, 0.00017145281294464836, -0.0025490516915131016, 0.000166416581533793]","[0.0, 0.0, 0.05]",188.45199450078417,"[ 0.00000000e+00 -6.99517968e-05  8.28983359e-05  1.68860626e-04
  4.08017774e-03  3.45037440e-05]"
210.0,"[0.0, -6.995179682062276e-05, 8.289833594543257e-05, 0.0001688606262885252, 0.0040801777375838125, 3.450374398431452e-05]","[-0.0, -0.0, -0.05]",152.45578644298803,"[ 0.00000000e+00 -6.99517968e-05  8.83150278e-05  1.66091845e-04
 -2.54335564e-03  1.16803185e-04]"
240.0,"[0.0, -6.99517968206228e-05, 8.831502777433894e-05, 0.0001660918453214742, -0.0025433556401160463, 0.0001168031854578191]","[0.0, 0.0, 0.05]",154.52551056028506,"[ 0.00000000e+00 -6.99517968e-05  9.36393598e-05  1.63149366e-04
  4.08426658e-03 -1.52678888e-05]"
270.0,"[0.0, -6.995179682062281e-05, 9.363935981625901e-05, 0.0001631493656324656, 0.004084266581633092, -1.5267888760151806e-05]","[-0.0, -0.0, -0.05]",112.97440951657472,"[ 0.00000000e+00 -6.99517968e-05  9.88657639e-05  1.60036264e-04
 -2.54087828e-03  6.69253672e-05]"
