time,step,state,action,reward,next_state,entropy_before,entropy_after,info_gain,dv_cost,predicted_value,root_N,root_best_idx,root_Q_sa,root_N_sa
300.0,10,"[-1.102815462684364e-06, -1.5655299658981353e-05, 2.8417114485867413e-06, -2.115566827453241e-06, 1.1857758674835146e-05, 9.44752157605258e-06]","[0.05, 0.0, 0.0]",12.49832094626136,"[-3.1867681525624216e-08, -2.3882105703743995e-05, 9.513279489792152e-06, -3.568654430878004e-06, 1.4992881032378827e-05, 2.2529143502455585e-06]",164.43840511580444,151.94003416954308,12.49837094626136,0.05,38.62454048609051,500,3,"[23.509530327979537, 24.482784726387987, 22.891735869108157, 38.62454048609051, 22.50423645335905, 17.748445960380902, 19.746665176749055, 17.836619652269185, 23.671065631088005, 23.539446789850185, 24.238346495263883, 13.591749829741646, 19.593509031880245]","[1, 2, 1, 486, 1, 1, 1, 1, 2, 1, 1, 1, 1]"
330.0,11,"[-3.1867681525624216e-08, -2.3882105703743995e-05, 9.513279489792152e-06, -3.568654430878004e-06, 1.4992881032378827e-05, 2.2529143502455585e-06]","[-0.0, -0.0, -0.05]",6.986298568151101,"[3.0049521518454124e-06, -2.2531241358166842e-05, 1.0121419632097246e-05, -8.914290375132199e-07, 7.899557729255934e-06, -7.85309881335572e-06]",151.94003416954308,144.95368560139198,6.986348568151101,0.05,31.14653279222615,500,12,"[17.272675006380652, 14.430001403660425, 11.963837275130393, 9.517708518791931, 12.476468655488839, 14.73220947167777, 15.892203218534256, 15.49585690645339, 15.228187973603218, 13.758790822260423, 14.317616973653664, 0.6275760681643995, 31.14653279222615]","[10, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 478]"
360.0,12,"[3.0049521518454124e-06, -2.2531241358166842e-05, 1.0121419632097246e-05, -8.914290375132199e-07, 7.899557729255934e-06, -7.85309881335572e-06]","[0.0, 0.0, 0.01]",-1e-05,"[5.21458227556402e-06, -2.4638178205869695e-05, 1.0089338320357407e-05, 1.2012632331395717e-06, 4.141317804948876e-06, -1.0249288632307389e-05]",144.95368560139198,144.95368560139198,0.0,0.01,26.46871791351428,500,9,"[10.351857472788298, 8.5588391718179, 8.353701200066027, 9.843393360363242, 4.017608278396715, 9.763203230461079, 1.0096105586260244, 4.381572197927255, -0.0002457382970028942, 26.46871791351428, 8.569930192233883, 6.066795289298152, 9.278117184532997]","[5, 2, 1, 1, 1, 2, 1, 1, 1, 482, 1, 1, 1]"
390.0,13,"[5.21458227556402e-06, -2.4638178205869695e-05, 1.0089338320357407e-05, 1.2012632331395717e-06, 4.141317804948876e-06, -1.0249288632307389e-05]","[0.05, 0.0, 0.0]",6.253711122026191,"[6.431391992201919e-06, -3.731041057400591e-05, 1.5680161003863777e-05, -4.7587373562289764e-07, -1.5381578919231592e-06, -1.0946803228771703e-05]",144.95368560139198,138.6999244793658,6.253761122026191,0.05,30.416172434316213,500,3,"[7.08899243071858, 14.505079446721211, 14.094991452748577, 30.416172434316213, 6.517911610761068, 9.207191831811109, 13.177601870036673, 7.364199483056513, 6.016373021318093, 10.0795049675353, 8.765819618470355, 9.757157745452812, 11.097296092982933]","[1, 1, 1, 488, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
420.0,14,"[6.431391992201919e-06, -3.731041057400591e-05, 1.5680161003863777e-05, -4.7587373562289764e-07, -1.5381578919231592e-06, -1.0946803228771703e-05]","[-0.0, -0.01, -0.0]",5.54974136494528,"[5.305225050615477e-06, -3.456027469973292e-05, 1.4359269871083149e-05, -1.5718498763440394e-06, -6.805485423822828e-06, -8.71113074038423e-06]",138.6999244793658,133.1501731144205,5.54975136494528,0.01,28.75493814008485,500,6,"[7.494808360692762, 14.625107022685677, 10.26070700469068, 10.000106793634945, 9.910754195090028, 10.23240806142519, 28.75493814008485, 4.9953910664683665, 1.3946489797434405, 11.459005384180667, 6.097418981400892, 11.227445562175934, 9.028944997005024]","[1, 8, 1, 1, 1, 1, 481, 1, 1, 1, 1, 1, 1]"
450.0,15,"[5.305225050615477e-06, -3.456027469973292e-05, 1.4359269871083149e-05, -1.5718498763440394e-06, -6.805485423822828e-06, -8.71113074038423e-06]","[-0.0, -0.01, -0.0]",2.0874344617208496,"[3.25063550421867e-06, -2.7455687173581774e-05, 1.2992693487414988e-05, -3.6547927383028616e-06, -1.0249288632307394e-05, -4.141317804948877e-06]",133.1501731144205,131.06272865269966,2.0874444617208496,0.01,26.396549704402716,500,6,"[10.35804895390762, 13.858473226440442, 9.628020030044427, 12.570385287103623, 12.0908875243371, 12.859139477438994, 26.396549704402716, 5.158545069089371, 5.551843753438621, 11.112273544063228, 15.29771584632945, 8.948032801215192, 8.393971831807203]","[1, 2, 1, 1, 1, 1, 474, 1, 1, 1, 14, 1, 1]"
480.0,16,"[3.25063550421867e-06, -2.7455687173581774e-05, 1.2992693487414988e-05, -3.6547927383028616e-06, -1.0249288632307394e-05, -4.141317804948877e-06]","[0.0, 0.05, 0.0]",6.936566104190051,"[1.6232646128544057e-05, -4.235151319408249e-05, 2.006948605901126e-05, 6.7394177159676015e-06, -1.0946803228771705e-05, 1.5381578919231596e-06]",131.06272865269966,124.12611254850961,6.936616104190051,0.05,23.562622916393607,500,7,"[12.503151924964143, 12.619103836408632, 16.241944070100235, 9.711271100472567, 17.159390790628766, 17.561284539009577, 9.510348551332147, 23.562622916393607, 7.6255563939845, 13.176422303876045, 14.560616222407036, 8.252068588445075, 15.303362017696722]","[1, 1, 1, 1, 3, 6, 1, 481, 1, 1, 1, 1, 1]"
510.0,17,"[1.6232646128544057e-05, -4.235151319408249e-05, 2.006948605901126e-05, 6.7394177159676015e-06, -1.0946803228771705e-05, 1.5381578919231596e-06]","[-0.0, -0.05, -0.0]",0.6988152769965711,"[1.77951644451744e-06, -2.8238377860059895e-05, 1.3079179093092097e-05, -6.4784272195128355e-06, -8.711130740384232e-06, 6.805485423822828e-06]",124.12611254850961,123.42724727151304,0.6988652769965711,0.05,15.720377336633014,500,8,"[4.076800540605001, 6.748831854530616, 4.957544024546186, 8.14418635361888, 4.3324732480418024, 4.342556644276844, 6.921124157691851, 3.2310229126056047, 15.720377336633014, 6.409961850889003, 3.638794955219537, 6.406172231595515, 7.082848386823107]","[1, 2, 1, 6, 1, 1, 1, 1, 480, 1, 1, 1, 3]"
540.0,18,"[1.77951644451744e-06, -2.8238377860059895e-05, 1.3079179093092097e-05, -6.4784272195128355e-06, -8.711130740384232e-06, 6.805485423822828e-06]","[-0.01, -0.0, -0.0]",9.016048438434527,"[-3.5361396258472455e-07, -7.371018293216684e-06, 1.0635408510649621e-05, -7.936959181009321e-06, -4.141317804948878e-06, 1.0249288632307392e-05]",123.42724727151304,114.41118883307851,9.016058438434527,0.01,17.293290617513357,500,2,"[8.323874441582369, 6.938102671569096, 17.293290617513357, 4.859219332011073, 11.18897922197933, 10.402728686925878, 7.631340783167174, 9.576946626920513, 5.550744378767139, 6.937801629356925, 4.863300514261479, 8.321519745432244, 10.398715645197502]","[1, 1, 465, 1, 22, 2, 1, 1, 1, 1, 1, 1, 2]"
570.0,19,"[-3.5361396258472455e-07, -7.371018293216684e-06, 1.0635408510649621e-05, -7.936959181009321e-06, -4.141317804948878e-06, 1.0249288632307392e-05]","[-0.05, -0.0, -0.0]",2.0822507678930595,"[-2.94948750966858e-06, 2.0673611515245922e-05, 3.222385516775027e-06, -6.1295001680415335e-06, 1.5381578919231587e-06, 1.0946803228771705e-05]",114.41118883307851,112.32888806518545,2.0823007678930594,0.05,9.305641100975343,500,4,"[0.6970291900346913, 3.4690319870677704, 2.0839277246078898, 4.15950326361477, 9.305641100975343, 0.7009078423054258, 3.9700241987332445, 1.2625547995044055, 1.3906564069073764, 2.0821656064707987, 2.084387510669007, 4.16172241020726, 2.7735799161906947]","[1, 1, 1, 1, 488, 1, 1, 1, 1, 1, 1, 1, 1]"
