time,state,action,reward,next_state
0.0,"[8.461825949055374e-05, -8.292685246523757e-05, -3.7605256900188016e-05, 0.00017701229732726583, 1.1112750319977968e-06, 6.609426527590837e-05]","[-0.0, -0.05, -0.0]",49.865437594186005,"[ 4.67214846e-05 -9.31444898e-05 -1.69966044e-04  5.22445858e-05
  3.40095250e-05  5.66836753e-05]"
30.0,"[4.672148460073899e-05, -9.31444897914365e-05, -0.00016996604421387404, 5.224458584743474e-05, 3.400952504625564e-05, 5.668367525740545e-05]","[-0.0, -0.05, -0.0]",41.557389333270294,"[-1.27301565e-04 -6.42502573e-05 -1.47250402e-04 -1.18030790e-04
  5.77949503e-05  3.20847402e-05]"
60.0,"[-0.0001273015649966363, -6.425025730482156e-05, -0.00014725040214833276, -0.00011803078966924238, 5.779495028940325e-05, 3.208474022965274e-05]","[-0.0, -0.05, -0.0]",1525.7701689216483,"[-2.03465206e-04  2.13643800e-05 -1.10697481e-05 -2.03349210e-04
  6.60942653e-05 -1.11127503e-06]"
90.0,"[-0.00020346520629374668, 2.136438003662754e-05, -1.106974808612559e-05, -0.00020334920978815738, 6.609426527590838e-05, -1.1112750319977843e-06]","[0.05, 0.0, 0.0]",12.470932206196267,"[-1.34845731e-04  9.76250817e-05  1.40929808e-04 -1.54315110e-04
  5.66836753e-05 -3.40095250e-05]"
120.0,"[-0.0001348457314994373, 9.762508170173162e-05, 0.00014092980788839228, -0.0001543151101879523, 5.6683675257405485e-05, -3.4009525046255624e-05]","[0.0, 0.05, 0.0]",0.0,"[ 2.67150845e-05  1.08392028e-04  2.12306016e-04 -7.56430742e-06
  3.20847402e-05 -5.77949503e-05]"
150.0,"[2.6715084468651655e-05, 0.00010839202780354957, 0.00021230601590158763, -7.5643074218939055e-06, 3.208474022965277e-05, -5.779495028940324e-05]","[0.0, 0.05, 0.0]",0.693718795532277,"[ 1.70337274e-04 -5.15854493e-07  1.77670820e-04  1.38680342e-04
 -1.11127503e-06 -6.60942653e-05]"
