time,step,state,action,reward,next_state,entropy_before,entropy_after,info_gain,dv_cost,predicted_value,root_N,root_best_idx,root_Q_sa,root_N_sa
0.0,0,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.05, 0.0, 0.0]",810.3133109055212,"[1.192011254832249e-05, 1.3837771971965759e-05, 1.453970131896122e-05, 1.1455967569628335e-05, 6.185895741317418e-06, -3.571428571428571e-06]",5545.177444479563,4734.864083574042,810.3133609055212,0.05,4551.27652561984,500,3,"[2283.350246733505, 2822.154003039923, 3757.9303066555203, 4551.27652561984, 2316.7256397654423, 3011.1767832157875, 3045.168969362556, 3535.78077163136, 1452.670303401671, 3129.634236242917, 3197.356216639433, 3190.0251861763727, 3290.893584753344]","[1, 1, 1, 488, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
30.0,1,"[1.192011254832249e-05, 1.3837771971965759e-05, 1.453970131896122e-05, 1.1455967569628335e-05, 6.185895741317418e-06, -3.571428571428571e-06]","[0.05, 0.0, 0.0]",1710.9684394029518,"[1.823854690156735e-05, -4.6117465142060545e-06, 6.328917586549182e-06, 1.7866835464726113e-05, 3.5714285714285718e-06, -6.185895741317418e-06]",4734.864083574042,3023.8955941710897,1710.968489402952,0.05,4174.250484315254,500,3,"[3914.696392620047, 3847.5299216582425, 3736.9025236605985, 4174.250484315254, 3094.458765397013, 3656.303581442581, 3771.9750019893527, 3612.082002987733, 3637.5432034225423, 3890.8261520203505, 3827.2922854056824, 3891.6159622867067, 3931.079335384321]","[1, 1, 1, 479, 1, 1, 1, 1, 1, 1, 2, 2, 8]"
60.0,2,"[1.823854690156735e-05, -4.6117465142060545e-06, 6.328917586549182e-06, 1.7866835464726113e-05, 3.5714285714285718e-06, -6.185895741317418e-06]","[-0.0, -0.0, -0.05]",2254.3582809547997,"[1.553895619876816e-05, -1.1896526476846903e-05, -9.298202377994547e-06, 1.651733755418175e-05, -6.6121249747875136e-06, -7.571129808109562e-06]",3023.8955941710897,769.53726321629,2254.3583309548,0.05,2734.0734766754945,500,12,"[2622.7031485064567, 2645.1810779445336, 2635.4313886785626, 2585.4699629657366, 2629.3947638399477, 2575.096834128851, 2500.603499783878, 2554.402730854723, 2639.4775725399154, 2560.0486679672354, 2630.6647060944133, 2582.1921057637674, 2734.0734766754945]","[1, 3, 5, 1, 1, 1, 1, 1, 1, 1, 3, 1, 480]"
90.0,3,"[1.553895619876816e-05, -1.1896526476846903e-05, -9.298202377994547e-06, 1.651733755418175e-05, -6.6121249747875136e-06, -7.571129808109562e-06]","[-0.0, -0.0, -0.05]",344.54771500912443,"[2.649480537333369e-06, -1.5255344649009976e-05, -1.8269966896815984e-05, 5.048496501947335e-06, -1.6106652580849267e-05, -3.892577342053687e-06]",769.53726321629,424.9894982071655,344.5477650091244,0.05,548.0266695373728,500,12,"[420.0512955793598, 412.34514987591905, 468.1005145398601, 473.1695690368127, 441.20661135186356, 384.4212732429561, 472.2382006655149, 391.6457113750993, 453.6840033113124, 465.70147413061426, 470.97972181903384, 418.4499773753487, 548.0266695373728]","[1, 1, 1, 4, 1, 1, 2, 1, 1, 1, 2, 1, 483]"
120.0,4,"[2.649480537333369e-06, -1.5255344649009976e-05, -1.8269966896815984e-05, 5.048496501947335e-06, -1.6106652580849267e-05, -3.892577342053687e-06]","[0.05, 0.0, 0.0]",29.387740006573367,"[-1.116417144517053e-05, -2.2457516570934986e-05, -1.0531297456788938e-05, -9.593812951909754e-06, -1.58950589759725e-05, 4.682255426010434e-06]",424.9894982071655,395.60170820059216,29.38779000657337,0.05,231.89748238528333,500,3,"[99.15609884292556, 148.07343890844436, 125.96143260458928, 231.89748238528333, 99.17318082512708, 168.23940305091617, 115.1148961866552, 171.0466893160219, 131.75458493547364, 104.48290913827229, 155.76522159263325, 174.105435359833, 132.46911734394794]","[1, 1, 1, 487, 1, 2, 1, 1, 1, 1, 1, 1, 1]"
150.0,5,"[-1.116417144517053e-05, -2.2457516570934986e-05, -1.0531297456788938e-05, -9.593812951909754e-06, -1.58950589759725e-05, 4.682255426010434e-06]","[0.05, 0.0, 0.0]",110.41443620749486,"[-1.4457078034429281e-05, -2.3196474707095708e-05, 4.0069796095784515e-06, -1.5521011118468636e-05, -1.1424397154838834e-05, 1.2002481633918816e-05]",395.60170820059216,285.1872219930973,110.41448620749486,0.05,224.20160008749082,500,3,"[175.0086608364648, 197.44788868241997, 170.8648898953033, 224.20160008749082, 170.17978725440184, 202.72685878109533, 186.35015220884665, 168.17876645827656, 118.08417445204628, 202.03606169025352, 189.4878580130476, 198.63217751524377, 196.58200687572707]","[1, 1, 1, 486, 1, 3, 1, 1, 1, 1, 1, 1, 1]"
180.0,6,"[-1.4457078034429281e-05, -2.3196474707095708e-05, 4.0069796095784515e-06, -1.5521011118468636e-05, -1.1424397154838834e-05, 1.2002481633918816e-05]","[-0.0, -0.0, -0.05]",73.56101564832433,"[-7.647583909330823e-06, -1.2965276079809193e-05, 1.2012034600469228e-05, -1.0614551167540472e-05, -1.039420760738965e-05, 1.4828991416503016e-05]",285.1872219930973,211.62615634477297,73.56106564832433,0.05,121.32622577856102,500,12,"[97.12956320707181, 95.4097255731725, 104.84597326361191, 97.79617937428797, 91.68726322941944, 105.0518140584504, 93.35412306095247, 105.27857520070341, 72.17876701536775, 98.06104741530221, 104.33515854619284, 100.72920501853827, 121.32622577856102]","[1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 3, 1, 484]"
210.0,7,"[-7.647583909330823e-06, -1.2965276079809193e-05, 1.2012034600469228e-05, -1.0614551167540472e-05, -1.039420760738965e-05, 1.4828991416503016e-05]","[-0.05, -0.0, -0.0]",17.376080570587774,"[1.2516527801042414e-06, 1.8736974479464527e-06, 9.382028880562625e-06, -1.1882408992704664e-06, -1.5871521319573994e-06, 1.8039387082887822e-05]",211.62615634477297,194.2500257741852,17.376130570587776,0.05,60.801929527109195,500,4,"[36.62271523162624, 33.836376954481345, 35.092689486699115, 30.812995931799946, 60.801929527109195, 34.43309221383972, 27.621704015354553, 30.399718923276783, 22.68910122781623, 35.85595894288585, 35.30495816370676, 32.087071144466734, 36.42312284404023]","[10, 1, 1, 1, 467, 2, 1, 1, 1, 1, 4, 1, 9]"
240.0,8,"[1.2516527801042414e-06, 1.8736974479464527e-06, 9.382028880562625e-06, -1.1882408992704664e-06, -1.5871521319573994e-06, 1.8039387082887822e-05]","[0.05, 0.0, 0.0]",11.143472901138084,"[5.358467177649895e-06, -1.2632771334251404e-05, 1.520095037383316e-05, 1.0399965490967785e-06, 7.645179475498173e-06, 1.6416143548460414e-05]",194.2500257741852,183.1065028730471,11.143522901138084,0.05,50.734812837994795,500,3,"[24.266457854615982, 25.20481061158311, 17.798246787167955, 50.734812837994795, 23.469219527108415, 24.327038108173152, 17.833843026395193, 16.147375244083378, 9.056429212000124, 12.589928072706908, 22.77207802461335, 14.906414941293146, 24.121365953829283]","[4, 3, 1, 479, 1, 2, 1, 1, 1, 1, 2, 1, 3]"
270.0,9,"[5.358467177649895e-06, -1.2632771334251404e-05, 1.520095037383316e-05, 1.0399965490967785e-06, 7.645179475498173e-06, 1.6416143548460414e-05]","[-0.0, -0.0, -0.05]",5.566851216319167,"[1.0845841417268568e-05, -2.1641933094171152e-05, 1.3593304963174361e-05, 6.882771626896476e-06, 8.481702302682668e-06, 8.492751569615195e-06]",183.1065028730471,177.53960165672794,5.566901216319167,0.05,41.61527111969306,500,12,"[21.8985821261454, 20.371418223290515, 18.465341213443164, 16.789794684028188, 18.90472230795726, 15.113159810008055, 16.846285888507268, 9.04842855381752, 18.714214021186894, 19.0214493338563, 18.544522722963393, 19.911229845902973, 41.61527111969306]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 488]"
