time,step,state,action,reward,next_state,entropy_before,entropy_after,info_gain,dv_cost,predicted_value,root_N,root_Q_sa,root_N_sa
0.0,0,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.05, 0.0, 0.0]",0.07868496244128338,"[1.0492233618263624e-05, 1.0965785954687875e-05, 1.6475842521787695e-05, 8.437340848764571e-06, 6.18589574131742e-06, -3.5714285714285705e-06]",5545.177444479563,5108.854865530437,436.3225789491262,0.05,2041.3951284734585,495,"[929.6012418706553, 1602.2239968985423, 808.5210771220827, 2041.3951284734585, 1193.1129698756686, 1756.8151061667536, 861.8154261910896, 1659.2383609281883, 1483.5616937769194, 1300.9520681383258, 1624.5018519474647, 1738.1528813227367, 1317.9951860555004]","[11, 33, 11, 198, 11, 55, 11, 11, 22, 11, 33, 66, 22]"
120.0,1,"[1.0492233618263624e-05, 1.0965785954687875e-05, 1.6475842521787695e-05, 8.437340848764571e-06, 6.18589574131742e-06, -3.5714285714285705e-06]","[-0.0, -0.05, -0.0]",0.5522313017796454,"[4.49245630895678e-06, 8.085823280198137e-06, 4.939224370966074e-06, 3.339940439605797e-06, 3.571428571428572e-06, -6.185895741317417e-06]",5108.854865530437,2046.6338067663603,3062.2210587640766,0.05,3764.1340319935134,495,"[2936.529567243961, 1320.806804923628, 1472.8231862899572, 3093.778676140278, 831.6927265671494, 2157.3908978248987, 1326.4213389944846, 2882.9767241322247, 3764.1340319935134, 2874.6332486436354, 1722.5309288449207, 2330.5245153422225, 2909.104640681304]","[11, 11, 11, 11, 11, 11, 11, 11, 363, 11, 11, 11, 11]"
240.0,2,"[4.49245630895678e-06, 8.085823280198137e-06, 4.939224370966074e-06, 3.339940439605797e-06, 3.571428571428572e-06, -6.185895741317417e-06]","[-0.0, -0.05, -0.0]",0.07100365207524456,"[-7.4760290565490514e-06, 2.0351008227419128e-05, -2.6904860483110027e-06, -6.976725594135708e-06, 9.912705577010327e-22, -7.142857142857141e-06]",2046.6338067663603,1652.9054568030397,393.7283499633206,0.05,1219.9656014487248,495,"[797.5277657529729, 961.4167167167053, 752.3434977908855, 1140.5659919993616, 938.6466395655564, 1135.5178704677326, 1056.9035958323564, 1031.4256641913619, 1219.9656014487248, 840.1939382301778, 1172.399717622275, 1113.3429325112081, 1172.3288937380296]","[11, 22, 11, 33, 11, 11, 11, 11, 297, 11, 22, 11, 33]"
360.0,3,"[-7.4760290565490514e-06, 2.0351008227419128e-05, -2.6904860483110027e-06, -6.976725594135708e-06, 9.912705577010327e-22, -7.142857142857141e-06]","[0.05, 0.0, 0.0]",-9.016844005556021e-08,"[-8.23474930069627e-06, 3.031950022455951e-05, 2.6832229286176147e-06, -1.1002394010497966e-05, -3.5714285714285697e-06, -6.185895741317417e-06]",1652.9054568030397,1652.9054568030397,0.0,0.05,844.075457633692,495,"[454.4285878150355, 725.9281218490538, 378.39082195972463, 844.075457633692, 41.398200559176864, 423.9338861703391, 467.32791677392765, 641.3003079681547, 578.7338026432881, 705.0210718730607, 243.72828103249546, 553.2070538688548, 511.3370960640325]","[11, 11, 11, 330, 11, 11, 11, 11, 22, 33, 11, 11, 11]"
480.0,4,"[-8.23474930069627e-06, 3.031950022455951e-05, 2.6832229286176147e-06, -1.1002394010497966e-05, -3.5714285714285697e-06, -6.185895741317417e-06]","[0.05, 0.0, 0.0]",-9.016844005556021e-08,"[-9.941078311951618e-06, 5.715332426872267e-05, 4.6467417253288135e-06, -1.5966380720038733e-05, -6.185895741317417e-06, -3.5714285714285718e-06]",1652.9054568030397,1652.9054568030397,0.0,0.05,703.5082417987837,495,"[50.82312397003525, 257.34422125628, 434.53598941702205, 703.5082417987837, 86.25669238433257, 593.2342822886475, 217.70808626287243, 528.8052273183968, 360.02994050600273, 57.58682294273171, 500.81310321737294, 611.0377704133786, 259.3704725801545]","[11, 11, 11, 308, 11, 22, 11, 44, 11, 11, 22, 11, 11]"
600.0,5,"[-9.941078311951618e-06, 5.715332426872267e-05, 4.6467417253288135e-06, -1.5966380720038733e-05, -6.185895741317417e-06, -3.5714285714285718e-06]","[0.0, 0.05, 0.0]",0.005132125464051803,"[-9.98241860195406e-07, 7.903119620811528e-05, 6.765874321001583e-06, -8.040951073132283e-06, -7.142857142857141e-06, -1.9825411154020654e-21]",1652.9054568030397,1624.4464104375404,28.459046365499262,0.05,462.0731342286179,495,"[39.221381218544984, 90.28543903400748, 123.1549530807654, 352.1573847605, 61.577666371883986, 47.7909539931731, 132.79511187028334, 462.0731342286179, 145.77240913945386, 200.11315508920822, 246.04299709215363, 75.79876762370044, 260.64676649665813]","[11, 11, 11, 88, 11, 11, 11, 275, 11, 11, 22, 11, 11]"
720.0,6,"[-9.98241860195406e-07, 7.903119620811528e-05, 6.765874321001583e-06, -8.040951073132283e-06, -7.142857142857141e-06, -1.9825411154020654e-21]","[0.0, 0.05, 0.0]",0.001001765375872037,"[6.136168176053145e-06, 8.834719448733443e-05, 1.0718230398349374e-05, -3.7202455686508628e-06, -6.185895741317419e-06, 3.571428571428568e-06]",1624.4464104375404,1618.8909436705942,5.5554667669462106,0.05,330.1928367156216,495,"[57.83085493332483, 103.2712368959507, 185.52818453378177, 64.4177417563899, 27.164615742517864, 35.58962736917383, 225.26682555485743, 330.1928367156216, 100.51333092238086, 43.6267195376401, 54.7405618448967, 133.15093757163115, 101.48539943256627]","[11, 11, 11, 11, 11, 11, 22, 352, 11, 11, 11, 11, 11]"
840.0,7,"[6.136168176053145e-06, 8.834719448733443e-05, 1.0718230398349374e-05, -3.7202455686508628e-06, -6.185895741317419e-06, 3.571428571428568e-06]","[0.05, 0.0, 0.0]",-9.016844005556021e-08,"[-4.44277724884706e-06, 0.00013296386141358393, 5.031128716482299e-06, -1.7172295226752232e-05, -3.571428571428573e-06, 6.185895741317416e-06]",1618.8909436705942,1618.8909436705942,0.0,0.05,331.8452500035698,495,"[120.29252468826388, 70.04270689627982, 63.227627200242026, 331.8452500035698, 0.9265308936826512, 149.17848745758474, 56.68889289759421, 215.5635681551303, 34.43647757339506, 226.49340574097795, 250.048820733345, 186.00642747887966, 106.8545841848768]","[11, 11, 11, 341, 11, 22, 11, 11, 11, 22, 11, 11, 11]"
960.0,8,"[-4.44277724884706e-06, 0.00013296386141358393, 5.031128716482299e-06, -1.7172295226752232e-05, -3.571428571428573e-06, 6.185895741317416e-06]","[0.0, 0.01, 0.0]",-1.803368801111204e-08,"[-1.5014098205888343e-05, 0.00016636905289477697, -1.2472249200203193e-05, -8.998673032840045e-06, -3.469446951953614e-21, 7.142857142857142e-06]",1618.8909436705942,1618.8909436705942,0.0,0.01,16.249900343789765,495,"[3.4162414483218346, 11.990182602113183, 0.858805679506844, 8.21550062331272, 6.5251791818917955, 16.249900343789765, 2.164968369004604, 11.151070060945388, 0.8015365545457016, 11.289864632768284, 10.505619354345557, 1.2741449712485284, 0.3674960524035665]","[11, 33, 11, 11, 11, 264, 11, 11, 11, 55, 44, 11, 11]"
1080.0,9,"[-1.5014098205888343e-05, 0.00016636905289477697, -1.2472249200203193e-05, -8.998673032840045e-06, -3.469446951953614e-21, 7.142857142857142e-06]","[-0.0, -0.05, -0.0]",-9.016844005556021e-08,"[-1.8825793295377898e-05, 0.00013248506064737143, -2.2485621346765606e-05, 1.0237586334282196e-05, 3.571428571428569e-06, 6.1858957413174206e-06]",1618.8909436705942,1618.8909436705942,0.0,0.05,25.248954276312137,495,"[12.340492230036086, 22.694309755011943, 20.326355333388676, 22.84392292123843, 10.830631377356186, 0.6578627079391729, 2.385764934059914, 1.677618173728611, 25.248954276312137, 1.704127723704964, 10.403470188609676, 20.731645839331602, 20.312865165000144]","[11, 22, 11, 55, 11, 11, 11, 11, 264, 11, 11, 22, 44]"
